Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,47,30,246,97,440,154,0.7321237993596584,0.717201166180758,0.615,0.6621803499327052,0.717183426443203
10,17,41,24,130,53,212,74,0.7292110874200426,0.7103825136612022,0.6372549019607843,0.6718346253229974,0.7186274509803922
15,17,36,19,86,36,145,46,0.7380191693290735,0.7049180327868853,0.6515151515151515,0.6771653543307087,0.726310061945421
20,17,30,13,64,29,102,40,0.7063829787234043,0.6881720430107527,0.6153846153846154,0.649746192893401,0.6970052847915443
25,15,25,10,50,24,85,29,0.7180851063829787,0.6756756756756757,0.6329113924050633,0.6535947712418301,0.7063639530832656
30,16,25,9,42,20,70,25,0.7133757961783439,0.6774193548387096,0.6268656716417911,0.6511627906976745,0.7023217247097844
35,15,23,8,33,19,59,23,0.6865671641791045,0.6346153846153846,0.5892857142857143,0.6111111111111112,0.6728479853479854
40,15,22,7,32,16,47,23,0.6694915254237288,0.6666666666666666,0.5818181818181818,0.6213592233009708,0.6639249639249639
45,14,18,4,24,14,44,23,0.6476190476190476,0.631578947368421,0.5106382978723404,0.5647058823529412,0.6346294937637564
50,13,20,7,24,15,37,18,0.648936170212766,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6414835164835164
55,15,14,-1,17,12,38,19,0.6395348837209303,0.5862068965517241,0.4722222222222222,0.5230769230769231,0.616111111111111
60,14,16,2,23,16,27,13,0.6329113924050633,0.5897435897435898,0.6388888888888888,0.6133333333333333,0.6333979328165374
65,15,14,-1,12,9,34,18,0.6301369863013698,0.5714285714285714,0.4,0.47058823529411764,0.5953488372093023
70,13,15,2,23,14,22,8,0.6716417910447762,0.6216216216216216,0.7419354838709677,0.6764705882352942,0.6765232974910395
