Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,34,20,378,171,268,114,0.6938775510204082,0.6885245901639344,0.7682926829268293,0.7262247838616714,0.6893855214178566
10,14,27,13,187,84,133,62,0.6866952789699571,0.6900369003690037,0.751004016064257,0.7192307692307692,0.6819536209353543
15,14,24,10,119,50,98,44,0.6977491961414791,0.7041420118343196,0.7300613496932515,0.7168674698795181,0.6961117559277068
20,13,26,13,93,44,66,30,0.6824034334763949,0.6788321167883211,0.7560975609756098,0.7153846153846154,0.6780487804878048
25,14,21,7,73,33,55,26,0.6844919786096256,0.6886792452830188,0.7373737373737373,0.7121951219512195,0.6811868686868687
30,14,21,7,61,28,46,21,0.6858974358974359,0.6853932584269663,0.7439024390243902,0.7134502923976608,0.682762030323006
35,13,17,4,58,30,33,12,0.6842105263157895,0.6590909090909091,0.8285714285714286,0.7341772151898734,0.6761904761904762
40,12,19,7,47,22,34,14,0.6923076923076923,0.6811594202898551,0.7704918032786885,0.7230769230769231,0.6888173302107727
45,13,14,1,43,25,24,12,0.6442307692307693,0.6323529411764706,0.7818181818181819,0.6991869918699187,0.6358070500927644
50,11,14,3,38,20,20,16,0.6170212765957447,0.6551724137931034,0.7037037037037037,0.6785714285714286,0.6018518518518519
55,12,11,-1,37,25,15,8,0.611764705882353,0.5967741935483871,0.8222222222222222,0.6915887850467289,0.5986111111111111
60,11,15,4,32,17,22,7,0.6923076923076923,0.6530612244897959,0.8205128205128205,0.7272727272727273,0.6923076923076923
65,11,11,0,29,19,16,8,0.625,0.6041666666666666,0.7837837837837838,0.6823529411764706,0.6204633204633204
70,10,13,3,29,16,14,8,0.6417910447761194,0.6444444444444445,0.7837837837837838,0.7073170731707317,0.6252252252252253
75,11,10,-1,26,17,11,9,0.5873015873015873,0.6046511627906976,0.7428571428571429,0.6666666666666666,0.5678571428571428
80,12,13,1,21,15,15,8,0.6101694915254238,0.5833333333333334,0.7241379310344828,0.6461538461538462,0.6120689655172413
85,10,7,-3,18,18,10,9,0.509090909090909,0.5,0.6666666666666666,0.5714285714285714,0.5119047619047619
90,11,13,2,21,14,9,8,0.5769230769230769,0.6,0.7241379310344828,0.65625,0.5577211394302849
95,11,8,-3,19,18,6,6,0.5102040816326531,0.5135135135135135,0.76,0.6129032258064516,0.505
100,10,10,0,17,12,10,8,0.574468085106383,0.5862068965517241,0.68,0.6296296296296297,0.5672727272727273
