teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
com_erro,catboost,lacuna,20,5,5,947,947,267,680,245,702,22,22,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985755,702,0,0,245,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_lacuna_jan20_passo5_eventos.png
com_erro,catboost,oscilacao,100,65,65,72,72,47,25,37,35,10,10,0,0.8055555555555556,0.8015444015444015,0.7446808510638298,0.9459459459459459,0.8333333333333334,0.6571428571240817,23,12,2,35,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_oscilacao_jan100_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_oscilacao_jan100_passo65_eventos.png
com_erro,catboost,queda,90,85,85,55,55,20,35,26,29,10,10,0,0.5818181818181818,0.5755968169761274,0.5714285714285714,0.46153846153846156,0.5106382978723404,0.6896551723900118,20,9,14,12,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_queda_jan90_passo85_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_queda_jan90_passo85_eventos.png
com_erro,mlp,lacuna,90,75,75,63,63,34,29,33,30,14,13,-1,0.9682539682539683,0.9681818181818183,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9666666666344444,29,1,1,32,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_lacuna_jan90_passo75_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_lacuna_jan90_passo75_eventos.png
com_erro,mlp,oscilacao,100,95,95,49,49,33,16,27,22,9,9,0,0.7755102040816326,0.7542087542087541,0.7222222222222222,0.9629629629629629,0.8253968253968254,0.545454545429752,12,10,1,26,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_oscilacao_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_oscilacao_jan100_passo95_eventos.png
com_erro,mlp,queda,100,95,95,49,49,21,28,23,26,10,10,0,0.5714285714285714,0.5685618729096991,0.5454545454545454,0.5217391304347826,0.5333333333333333,0.6153846153609468,16,10,11,12,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_queda_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_queda_jan100_passo95_eventos.png
com_erro,random_forest,lacuna,20,5,5,947,947,267,680,245,702,22,22,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985755,702,0,0,245,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_random_forest_lacuna_jan20_passo5_eventos.png
com_erro,random_forest,oscilacao,100,90,90,52,52,34,18,29,23,10,10,0,0.7884615384615384,0.7698650674662668,0.75,0.9310344827586207,0.8307692307692308,0.608695652147448,14,9,2,27,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_random_forest_oscilacao_jan100_passo90_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_random_forest_oscilacao_jan100_passo90_eventos.png
com_erro,random_forest,queda,90,55,55,85,85,33,52,38,47,13,13,0,0.6588235294117647,0.6385778275475924,0.68,0.4473684210526316,0.5396825396825397,0.8297872340248982,39,8,21,17,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_random_forest_queda_jan90_passo55_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_random_forest_queda_jan90_passo55_eventos.png
com_erro,xgboost,lacuna,20,5,5,947,947,267,680,245,702,22,22,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985755,702,0,0,245,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_1\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_1_com_erro_xgboost_lacuna_jan20_passo5_eventos.png
