Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,18,0,434,0,503,0,1.0,1.0,1.0,1.0,1.0
10,18,18,0,216,0,253,0,1.0,1.0,1.0,1.0,1.0
15,17,17,0,143,0,170,0,1.0,1.0,1.0,1.0,1.0
20,18,18,0,106,0,126,3,0.9872340425531915,1.0,0.9724770642201835,0.986046511627907,0.9862385321100917
25,18,18,0,86,0,102,0,1.0,1.0,1.0,1.0,1.0
30,17,17,0,69,0,87,1,0.9936305732484076,1.0,0.9857142857142858,0.9928057553956835,0.9928571428571429
35,16,16,0,60,0,73,1,0.9925373134328358,1.0,0.9836065573770492,0.9917355371900827,0.9918032786885246
40,16,16,0,54,0,62,2,0.9830508474576272,1.0,0.9642857142857143,0.9818181818181818,0.9821428571428572
45,17,17,0,48,0,57,0,1.0,1.0,1.0,1.0,1.0
50,17,17,0,40,0,54,0,1.0,1.0,1.0,1.0,1.0
55,16,16,0,41,0,44,1,0.9883720930232558,1.0,0.9761904761904762,0.9879518072289156,0.9880952380952381
60,16,16,0,35,0,43,1,0.9873417721518988,1.0,0.9722222222222222,0.9859154929577465,0.9861111111111112
65,15,15,0,34,0,39,0,1.0,1.0,1.0,1.0,1.0
70,14,14,0,29,0,37,1,0.9850746268656716,1.0,0.9666666666666667,0.9830508474576272,0.9833333333333334
