Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,16,21,5,458,15,418,42,0.9389067524115756,0.9682875264270613,0.916,0.9414182939362795,0.9406789838337183
10,16,37,21,231,36,182,18,0.8843683083511777,0.8651685393258427,0.927710843373494,0.8953488372093024,0.8812866143472975
15,15,28,13,154,34,109,14,0.8456591639871383,0.8191489361702128,0.9166666666666666,0.8651685393258427,0.8394522144522144
20,16,26,10,109,14,94,17,0.8675213675213675,0.8861788617886179,0.8650793650793651,0.8755020080321285,0.8677248677248677
25,15,17,2,87,4,83,13,0.9090909090909091,0.9560439560439561,0.87,0.9109947643979057,0.9120114942528735
30,14,17,3,75,6,67,8,0.9102564102564102,0.9259259259259259,0.9036144578313253,0.9146341463414634,0.9107113385047038
35,15,23,8,57,8,53,16,0.8208955223880597,0.8769230769230769,0.7808219178082192,0.8260869565217391,0.8248371884123062
40,14,16,2,57,2,54,4,0.9487179487179487,0.9661016949152542,0.9344262295081968,0.95,0.9493559718969555
45,15,16,1,46,11,40,7,0.8269230769230769,0.8070175438596491,0.8679245283018868,0.8363636363636363,0.8261191268960415
50,14,15,1,45,2,44,3,0.9468085106382979,0.9574468085106383,0.9375,0.9473684210526315,0.9470108695652174
55,12,15,3,37,7,31,10,0.8,0.8409090909090909,0.7872340425531915,0.8131868131868132,0.801511758118701
60,13,14,1,36,1,37,4,0.9358974358974359,0.972972972972973,0.9,0.935064935064935,0.9368421052631579
65,12,16,4,31,6,26,9,0.7916666666666666,0.8378378378378378,0.775,0.8051948051948052,0.79375
70,13,20,7,25,6,26,10,0.7611940298507462,0.8064516129032258,0.7142857142857143,0.7575757575757576,0.7633928571428572
75,14,13,-1,32,1,29,1,0.9682539682539683,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9681818181818183
80,11,15,4,25,3,27,4,0.8813559322033898,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.8810344827586207
85,11,13,2,26,6,19,4,0.8181818181818182,0.8125,0.8666666666666667,0.8387096774193549,0.8133333333333334
90,12,14,2,21,5,20,6,0.7884615384615384,0.8076923076923077,0.7777777777777778,0.7924528301886793,0.788888888888889
