Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,34,23,447,116,315,55,0.8167202572347267,0.7939609236234458,0.8904382470119522,0.8394366197183099,0.8106483578447232
10,11,27,16,226,72,145,24,0.7944325481798715,0.7583892617449665,0.904,0.8248175182481752,0.7861013824884793
15,11,22,11,152,41,103,15,0.819935691318328,0.7875647668393783,0.9101796407185628,0.8444444444444444,0.8127287092481703
20,11,20,9,112,30,78,14,0.811965811965812,0.7887323943661971,0.8888888888888888,0.835820895522388,0.8055555555555556
25,11,15,4,90,26,58,13,0.7914438502673797,0.7758620689655172,0.8737864077669902,0.821917808219178,0.7821312991215903
30,11,18,7,78,27,44,7,0.782051282051282,0.7428571428571429,0.9176470588235294,0.8210526315789474,0.7686826843413421
35,10,17,7,65,18,43,8,0.8059701492537313,0.7831325301204819,0.8904109589041096,0.8333333333333334,0.7976644958454975
40,10,17,7,51,17,36,13,0.7435897435897436,0.75,0.796875,0.7727272727272727,0.7380601415094339
45,10,15,5,49,17,31,7,0.7692307692307693,0.7424242424242424,0.875,0.8032786885245902,0.7604166666666667
50,10,14,4,44,13,28,9,0.7659574468085106,0.7719298245614035,0.8301886792452831,0.8,0.7565577542567878
55,9,12,3,41,9,31,4,0.8470588235294118,0.82,0.9111111111111111,0.8631578947368421,0.8430555555555556
60,10,14,4,36,14,22,6,0.7435897435897436,0.72,0.8571428571428571,0.782608695652174,0.7341269841269842
65,10,12,2,33,11,25,3,0.8055555555555556,0.75,0.9166666666666666,0.825,0.8055555555555556
70,10,13,3,31,12,19,5,0.746268656716418,0.7209302325581395,0.8611111111111112,0.7848101265822784,0.7370071684587813
75,9,13,4,31,14,12,6,0.6825396825396826,0.6888888888888889,0.8378378378378378,0.7560975609756098,0.6496881496881497
80,9,12,3,27,11,15,6,0.711864406779661,0.7105263157894737,0.8181818181818182,0.7605633802816901,0.6975524475524475
85,10,12,2,24,10,17,4,0.7454545454545455,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7433862433862434
90,10,11,1,23,10,15,4,0.7307692307692307,0.696969696969697,0.8518518518518519,0.7666666666666667,0.7259259259259259
