Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,38,27,422,198,277,40,0.7459978655282817,0.6806451612903226,0.9134199134199135,0.7800369685767098,0.7482889040783778
10,11,34,23,213,91,148,17,0.7697228144989339,0.7006578947368421,0.9260869565217391,0.797752808988764,0.7726669092232126
15,11,24,13,141,46,112,14,0.8083067092651757,0.7540106951871658,0.9096774193548387,0.8245614035087719,0.8092690894242548
20,11,22,11,107,47,72,9,0.7617021276595745,0.6948051948051948,0.9224137931034483,0.7925925925925926,0.7637279049550855
25,11,22,11,89,36,56,7,0.7712765957446809,0.712,0.9270833333333334,0.8054298642533937,0.7678894927536233
30,11,19,8,71,25,55,6,0.802547770700637,0.7395833333333334,0.922077922077922,0.8208092485549133,0.804788961038961
35,11,22,11,62,25,42,5,0.7761194029850746,0.7126436781609196,0.9253731343283582,0.8051948051948052,0.7761194029850746
40,11,16,5,53,20,39,6,0.7796610169491526,0.726027397260274,0.8983050847457628,0.803030303030303,0.7796610169491526
45,11,18,7,41,17,35,12,0.7238095238095238,0.7068965517241379,0.7735849056603774,0.7387387387387387,0.7233309143686503
50,11,17,6,41,19,29,5,0.7446808510638298,0.6833333333333333,0.8913043478260869,0.7735849056603774,0.7477355072463767
55,10,11,1,40,12,31,3,0.8255813953488372,0.7692307692307693,0.9302325581395349,0.8421052631578947,0.8255813953488371
60,11,16,5,35,12,27,5,0.7848101265822784,0.7446808510638298,0.875,0.8045977011494253,0.7836538461538461
65,11,11,0,31,13,25,4,0.7671232876712328,0.7045454545454546,0.8857142857142857,0.7848101265822784,0.7718045112781955
70,10,13,3,29,17,17,4,0.6865671641791045,0.6304347826086957,0.8787878787878788,0.7341772151898734,0.6893939393939394
