Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,33,18,138,80,461,256,0.6406417112299465,0.6330275229357798,0.350253807106599,0.45098039215686275,0.6011897501337061
10,15,25,10,72,39,233,124,0.6517094017094017,0.6486486486486487,0.3673469387755102,0.46905537459283386,0.6119822929171669
15,13,22,9,46,31,153,82,0.6378205128205128,0.5974025974025974,0.359375,0.44878048780487806,0.5954483695652174
20,14,21,7,32,21,115,66,0.6282051282051282,0.6037735849056604,0.32653061224489793,0.423841059602649,0.5860594237695078
25,13,17,4,22,14,94,57,0.6203208556149733,0.6111111111111112,0.27848101265822783,0.3826086956521739,0.5744256915142991
30,13,14,1,17,14,80,45,0.6217948717948718,0.5483870967741935,0.27419354838709675,0.3655913978494624,0.5626286890871655
35,13,13,0,14,12,67,41,0.6044776119402985,0.5384615384615384,0.2545454545454545,0.345679012345679,0.5513233601841196
40,14,12,-2,12,6,62,37,0.6324786324786325,0.6666666666666666,0.24489795918367346,0.3582089552238806,0.5783313325330132
45,13,11,-2,11,7,54,32,0.625,0.6111111111111112,0.2558139534883721,0.36065573770491804,0.5705299275638582
50,13,13,0,10,8,46,30,0.5957446808510638,0.5555555555555556,0.25,0.3448275862068966,0.5509259259259259
55,14,11,-3,11,6,43,25,0.6352941176470588,0.6470588235294118,0.3055555555555556,0.41509433962264153,0.5915532879818595
60,13,12,-1,6,10,38,24,0.5641025641025641,0.375,0.2,0.2608695652173913,0.49583333333333335
65,13,13,0,5,12,33,22,0.5277777777777778,0.29411764705882354,0.18518518518518517,0.22727272727272727,0.45925925925925926
70,12,15,3,6,10,28,23,0.5074626865671642,0.375,0.20689655172413793,0.26666666666666666,0.4718693284936479
75,12,9,-3,5,8,29,21,0.5396825396825397,0.38461538461538464,0.19230769230769232,0.2564102564102564,0.48804573804573803
80,12,6,-6,5,2,31,21,0.6101694915254238,0.7142857142857143,0.19230769230769232,0.30303030303030304,0.5658508158508159
