Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,933,0,1.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,467,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,311,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,234,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,187,0,1.0,0.0,0.0,0.0,1.0
30,0,0,0,0,0,156,0,1.0,0.0,0.0,0.0,1.0
35,0,3,3,0,3,131,0,0.9776119402985075,0.0,0.0,0.0,0.9776119402985075
40,0,0,0,0,0,117,0,1.0,0.0,0.0,0.0,1.0
45,0,2,2,0,4,100,0,0.9615384615384616,0.0,0.0,0.0,0.9615384615384616
50,0,1,1,0,9,85,0,0.9042553191489362,0.0,0.0,0.0,0.9042553191489362
55,0,2,2,0,9,76,0,0.8941176470588236,0.0,0.0,0.0,0.8941176470588236
60,0,2,2,0,2,76,0,0.9743589743589743,0.0,0.0,0.0,0.9743589743589743
65,0,1,1,0,7,65,0,0.9027777777777778,0.0,0.0,0.0,0.9027777777777778
70,0,1,1,0,6,61,0,0.9104477611940298,0.0,0.0,0.0,0.9104477611940298
75,0,3,3,0,3,60,0,0.9523809523809523,0.0,0.0,0.0,0.9523809523809523
80,0,1,1,0,6,53,0,0.8983050847457628,0.0,0.0,0.0,0.8983050847457628
85,0,1,1,0,1,54,0,0.9818181818181818,0.0,0.0,0.0,0.9818181818181818
90,0,2,2,0,6,46,0,0.8846153846153846,0.0,0.0,0.0,0.8846153846153846
