Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,51,51,0,303,636,0,0.6773162939297125,0.0,0.0,0.0,0.6773162939297125
10,0,42,42,0,141,329,0,0.7,0.0,0.0,0.0,0.7
15,0,31,31,0,60,253,0,0.8083067092651757,0.0,0.0,0.0,0.8083067092651757
20,0,25,25,0,64,171,0,0.7276595744680852,0.0,0.0,0.0,0.7276595744680852
25,0,22,22,0,49,139,0,0.7393617021276596,0.0,0.0,0.0,0.7393617021276596
30,0,18,18,0,32,125,0,0.7961783439490446,0.0,0.0,0.0,0.7961783439490446
35,0,22,22,0,33,102,0,0.7555555555555555,0.0,0.0,0.0,0.7555555555555555
40,0,14,14,0,25,93,0,0.788135593220339,0.0,0.0,0.0,0.788135593220339
45,0,17,17,0,24,81,0,0.7714285714285715,0.0,0.0,0.0,0.7714285714285715
50,0,16,16,0,23,71,0,0.7553191489361702,0.0,0.0,0.0,0.7553191489361702
55,0,13,13,0,21,65,0,0.7558139534883721,0.0,0.0,0.0,0.7558139534883721
60,0,12,12,0,20,59,0,0.7468354430379747,0.0,0.0,0.0,0.7468354430379747
