Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,9,24,15,458,183,237,53,0.7465091299677766,0.7145085803432137,0.8962818003913894,0.7951388888888888,0.7302837573385519
10,9,20,11,228,90,122,26,0.7510729613733905,0.7169811320754716,0.8976377952755905,0.7972027972027972,0.736554746694399
15,9,18,9,150,54,86,21,0.7588424437299035,0.7352941176470589,0.8771929824561403,0.8,0.7457393483709274
20,9,16,7,110,42,65,16,0.7510729613733905,0.7236842105263158,0.873015873015873,0.7913669064748201,0.7402462542649458
25,9,18,9,85,31,55,16,0.7486631016042781,0.7327586206896551,0.8415841584158416,0.783410138248848,0.740559521068386
30,9,13,4,76,24,47,9,0.7884615384615384,0.76,0.8941176470588236,0.8216216216216217,0.7780447390223695
35,9,15,6,63,23,37,10,0.7518796992481203,0.7325581395348837,0.863013698630137,0.7924528301886793,0.7398401826484018
40,9,15,6,57,21,32,7,0.7606837606837606,0.7307692307692307,0.890625,0.8028169014084507,0.7471992924528301
45,9,14,5,49,19,29,7,0.75,0.7205882352941176,0.875,0.7903225806451613,0.7395833333333333
50,9,14,5,42,15,28,9,0.7446808510638298,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7373461012311902
55,9,13,4,40,17,20,8,0.7058823529411765,0.7017543859649122,0.8333333333333334,0.7619047619047619,0.6869369369369369
60,9,11,2,35,11,25,7,0.7692307692307693,0.7608695652173914,0.8333333333333334,0.7954545454545454,0.7638888888888888
65,9,10,1,32,14,20,6,0.7222222222222222,0.6956521739130435,0.8421052631578947,0.7619047619047619,0.7151702786377709
70,9,10,1,34,14,17,2,0.7611940298507462,0.7083333333333334,0.9444444444444444,0.8095238095238095,0.746415770609319
75,9,9,0,30,15,14,4,0.6984126984126984,0.6666666666666666,0.8823529411764706,0.759493670886076,0.6825557809330629
80,8,8,0,30,12,14,3,0.7457627118644068,0.7142857142857143,0.9090909090909091,0.8,0.7237762237762237
85,9,11,2,26,8,17,4,0.7818181818181819,0.7647058823529411,0.8666666666666667,0.8125,0.7733333333333334
90,8,13,5,21,10,16,5,0.7115384615384616,0.6774193548387096,0.8076923076923077,0.7368421052631579,0.7115384615384616
95,9,12,3,24,6,18,1,0.8571428571428571,0.8,0.96,0.8727272727272727,0.855
100,9,7,-2,20,11,12,4,0.6808510638297872,0.6451612903225806,0.8333333333333334,0.7272727272727273,0.677536231884058
