evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-26 00:40:00,2023-10-26 11:00:00,63.0
oscilacao_002,oscilacao,2023-10-21 23:50:00,2023-10-22 09:10:00,57.0
oscilacao_003,oscilacao,2023-10-20 23:00:00,2023-10-21 10:40:00,71.0
oscilacao_004,oscilacao,2023-10-19 01:30:00,2023-10-19 12:30:00,67.0
oscilacao_005,oscilacao,2023-11-05 08:30:00,2023-11-05 20:20:00,72.0
oscilacao_006,oscilacao,2023-10-18 06:30:00,2023-10-18 13:40:00,44.0
oscilacao_007,oscilacao,2023-10-25 08:00:00,2023-10-25 18:10:00,62.0
oscilacao_008,oscilacao,2023-10-22 22:40:00,2023-10-23 10:20:00,71.0
oscilacao_009,oscilacao,2023-10-22 13:00:00,2023-10-22 22:30:00,58.0
oscilacao_010,oscilacao,2023-10-27 20:50:00,2023-10-28 03:00:00,38.0
oscilacao_011,oscilacao,2023-10-18 13:50:00,2023-10-18 23:40:00,60.0
oscilacao_012,oscilacao,2023-10-20 03:30:00,2023-10-20 10:00:00,40.0
oscilacao_013,oscilacao,2023-10-26 15:00:00,2023-10-27 02:30:00,70.0
oscilacao_014,oscilacao,2023-10-30 06:00:00,2023-10-30 17:40:00,71.0
oscilacao_015,oscilacao,2023-11-01 17:10:00,2023-11-02 01:20:00,50.0
oscilacao_016,oscilacao,2023-10-17 11:40:00,2023-10-17 18:10:00,40.0
oscilacao_017,oscilacao,2023-10-07 13:20:00,2023-10-07 20:00:00,41.0
oscilacao_018,oscilacao,2023-10-14 02:30:00,2023-10-14 09:10:00,41.0
oscilacao_019,oscilacao,2023-10-19 20:20:00,2023-10-20 03:20:00,43.0
oscilacao_020,oscilacao,2023-10-23 16:10:00,2023-10-24 03:40:00,70.0
oscilacao_021,oscilacao,2023-10-29 13:00:00,2023-10-29 19:20:00,39.0
oscilacao_022,oscilacao,2023-10-16 08:30:00,2023-10-16 20:10:00,71.0
oscilacao_023,oscilacao,2023-10-07 20:10:00,2023-10-08 02:00:00,36.0
oscilacao_024,oscilacao,2023-10-24 05:10:00,2023-10-24 13:20:00,50.0
