Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,14,0,327,0,610,0,1.0,1.0,1.0,1.0,1.0
10,14,14,0,163,0,306,0,1.0,1.0,1.0,1.0,1.0
15,14,14,0,110,0,203,0,1.0,1.0,1.0,1.0,1.0
20,14,14,0,82,0,153,0,1.0,1.0,1.0,1.0,1.0
25,13,13,0,67,0,121,0,1.0,1.0,1.0,1.0,1.0
30,13,13,0,57,0,100,0,1.0,1.0,1.0,1.0,1.0
35,13,13,0,47,0,87,0,1.0,1.0,1.0,1.0,1.0
40,13,13,0,44,0,74,0,1.0,1.0,1.0,1.0,1.0
45,13,13,0,36,0,66,3,0.9714285714285714,1.0,0.9230769230769231,0.96,0.9615384615384616
50,13,13,0,34,0,60,0,1.0,1.0,1.0,1.0,1.0
55,13,13,0,31,0,55,0,1.0,1.0,1.0,1.0,1.0
60,13,13,0,30,0,49,0,1.0,1.0,1.0,1.0,1.0
65,13,13,0,27,0,46,0,1.0,1.0,1.0,1.0,1.0
70,13,13,0,24,0,43,0,1.0,1.0,1.0,1.0,1.0
