Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,43,28,199,120,436,182,0.6776947705442903,0.6238244514106583,0.5223097112860893,0.5685714285714286,0.6532411865782964
10,15,32,17,101,70,208,90,0.6588486140724946,0.5906432748538012,0.5287958115183246,0.5580110497237569,0.6384986251836227
15,15,30,15,62,44,142,65,0.6517571884984026,0.5849056603773585,0.4881889763779528,0.5321888412017167,0.6258149182965033
20,15,26,11,53,35,105,42,0.6723404255319149,0.6022727272727273,0.5578947368421052,0.5792349726775956,0.6539473684210526
25,14,20,6,41,28,85,34,0.6702127659574468,0.5942028985507246,0.5466666666666666,0.5694444444444444,0.6494395280235987
30,15,20,5,29,21,72,35,0.643312101910828,0.58,0.453125,0.5087719298245614,0.6136592741935484
35,14,21,7,31,24,56,23,0.6492537313432836,0.5636363636363636,0.5740740740740741,0.5688073394495413,0.6370370370370371
40,15,21,6,25,20,51,22,0.6440677966101694,0.5555555555555556,0.5319148936170213,0.5434782608695652,0.6251123763859754
45,15,21,6,25,28,34,18,0.5619047619047619,0.4716981132075472,0.5813953488372093,0.5208333333333334,0.5648912228057015
50,13,16,3,21,11,43,19,0.6808510638297872,0.65625,0.525,0.5833333333333334,0.6606481481481481
55,13,17,4,23,18,32,13,0.6395348837209303,0.5609756097560976,0.6388888888888888,0.5974025974025974,0.6394444444444445
60,12,15,3,18,12,34,15,0.6582278481012658,0.6,0.5454545454545454,0.5714285714285714,0.642292490118577
65,15,12,-3,16,11,30,16,0.6301369863013698,0.5925925925925926,0.5,0.5423728813559322,0.6158536585365854
70,13,13,0,18,17,22,10,0.5970149253731343,0.5142857142857142,0.6428571428571429,0.5714285714285714,0.6034798534798536
