Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,28,28,0,60,875,0,0.9358288770053476,0.0,0.0,0.0,0.9358288770053476
10,0,12,12,0,21,447,0,0.9551282051282052,0.0,0.0,0.0,0.9551282051282052
15,0,14,14,0,19,293,0,0.9391025641025641,0.0,0.0,0.0,0.9391025641025641
20,0,19,19,0,36,198,0,0.8461538461538461,0.0,0.0,0.0,0.8461538461538461
25,0,15,15,0,18,169,0,0.9037433155080213,0.0,0.0,0.0,0.9037433155080213
30,0,8,8,0,10,146,0,0.9358974358974359,0.0,0.0,0.0,0.9358974358974359
35,0,13,13,0,14,120,0,0.8955223880597015,0.0,0.0,0.0,0.8955223880597015
40,0,5,5,0,16,101,0,0.8632478632478633,0.0,0.0,0.0,0.8632478632478633
45,0,16,16,0,23,81,0,0.7788461538461539,0.0,0.0,0.0,0.7788461538461539
50,0,5,5,0,7,87,0,0.925531914893617,0.0,0.0,0.0,0.925531914893617
55,0,7,7,0,10,75,0,0.8823529411764706,0.0,0.0,0.0,0.8823529411764706
60,0,10,10,0,19,59,0,0.7564102564102564,0.0,0.0,0.0,0.7564102564102564
65,0,11,11,0,11,61,0,0.8472222222222222,0.0,0.0,0.0,0.8472222222222222
70,0,11,11,0,20,47,0,0.7014925373134329,0.0,0.0,0.0,0.7014925373134329
75,0,11,11,0,15,48,0,0.7619047619047619,0.0,0.0,0.0,0.7619047619047619
80,0,8,8,0,11,48,0,0.8135593220338984,0.0,0.0,0.0,0.8135593220338984
