Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,75,75,0,218,715,0,0.7663451232583065,0.0,0.0,0.0,0.7663451232583065
10,0,65,65,0,205,262,0,0.5610278372591007,0.0,0.0,0.0,0.5610278372591007
15,0,26,26,0,57,254,0,0.8167202572347267,0.0,0.0,0.0,0.8167202572347267
20,0,16,16,0,26,208,0,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888
25,0,22,22,0,51,136,0,0.7272727272727273,0.0,0.0,0.0,0.7272727272727273
30,0,25,25,0,51,105,0,0.6730769230769231,0.0,0.0,0.0,0.6730769230769231
35,0,21,21,0,35,99,0,0.7388059701492538,0.0,0.0,0.0,0.7388059701492538
40,0,18,18,0,33,84,0,0.717948717948718,0.0,0.0,0.0,0.717948717948718
45,0,17,17,0,28,76,0,0.7307692307692307,0.0,0.0,0.0,0.7307692307692307
50,0,24,24,0,41,53,0,0.5638297872340425,0.0,0.0,0.0,0.5638297872340425
55,0,16,16,0,29,56,0,0.6588235294117647,0.0,0.0,0.0,0.6588235294117647
60,0,15,15,0,28,50,0,0.6410256410256411,0.0,0.0,0.0,0.6410256410256411
65,0,12,12,0,14,58,0,0.8055555555555556,0.0,0.0,0.0,0.8055555555555556
70,0,14,14,0,22,45,0,0.6716417910447762,0.0,0.0,0.0,0.6716417910447762
75,0,15,15,0,22,41,0,0.6507936507936508,0.0,0.0,0.0,0.6507936507936508
80,0,11,11,0,19,40,0,0.6779661016949152,0.0,0.0,0.0,0.6779661016949152
85,0,9,9,0,11,44,0,0.8,0.0,0.0,0.0,0.8
90,0,11,11,0,14,38,0,0.7307692307692307,0.0,0.0,0.0,0.7307692307692307
