Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,51,51,0,402,535,0,0.5709711846318036,0.0,0.0,0.0,0.5709711846318036
10,0,39,39,0,200,269,0,0.5735607675906184,0.0,0.0,0.0,0.5735607675906184
15,0,33,33,0,136,177,0,0.5654952076677316,0.0,0.0,0.0,0.5654952076677316
20,0,33,33,0,107,128,0,0.5446808510638298,0.0,0.0,0.0,0.5446808510638298
25,0,28,28,0,75,113,0,0.601063829787234,0.0,0.0,0.0,0.601063829787234
30,0,27,27,0,67,90,0,0.5732484076433121,0.0,0.0,0.0,0.5732484076433121
35,0,24,24,0,63,71,0,0.5298507462686567,0.0,0.0,0.0,0.5298507462686567
40,0,23,23,0,50,68,0,0.576271186440678,0.0,0.0,0.0,0.576271186440678
45,0,20,20,0,56,49,0,0.4666666666666667,0.0,0.0,0.0,0.4666666666666667
50,0,20,20,0,37,57,0,0.6063829787234043,0.0,0.0,0.0,0.6063829787234043
55,0,16,16,0,35,51,0,0.5930232558139535,0.0,0.0,0.0,0.5930232558139535
60,0,17,17,0,31,48,0,0.6075949367088608,0.0,0.0,0.0,0.6075949367088608
65,0,17,17,0,26,47,0,0.6438356164383562,0.0,0.0,0.0,0.6438356164383562
70,0,17,17,0,29,38,0,0.5671641791044776,0.0,0.0,0.0,0.5671641791044776
