Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,14,0,401,0,534,0,1.0,1.0,1.0,1.0,1.0
10,14,14,0,196,0,271,1,0.9978632478632479,1.0,0.9949238578680203,0.9974554707379135,0.9974619289340101
15,14,14,0,133,0,179,0,1.0,1.0,1.0,1.0,1.0
20,12,12,0,96,0,137,1,0.9957264957264957,1.0,0.9896907216494846,0.9948186528497409,0.9948453608247423
25,12,12,0,78,0,108,1,0.9946524064171123,1.0,0.9873417721518988,0.9936305732484076,0.9936708860759493
30,12,12,0,65,0,91,0,1.0,1.0,1.0,1.0,1.0
35,13,13,0,54,0,80,0,1.0,1.0,1.0,1.0,1.0
40,12,12,0,48,0,69,0,1.0,1.0,1.0,1.0,1.0
45,10,10,0,42,0,62,0,1.0,1.0,1.0,1.0,1.0
50,11,11,0,41,0,53,0,1.0,1.0,1.0,1.0,1.0
55,11,12,1,33,0,49,3,0.9647058823529412,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333
60,12,12,0,30,0,47,1,0.9871794871794872,1.0,0.967741935483871,0.9836065573770492,0.9838709677419355
65,10,10,0,32,0,40,0,1.0,1.0,1.0,1.0,1.0
70,12,12,0,27,0,40,0,1.0,1.0,1.0,1.0,1.0
75,11,11,0,25,0,37,1,0.9841269841269841,1.0,0.9615384615384616,0.9803921568627451,0.9807692307692308
80,10,10,0,24,0,35,0,1.0,1.0,1.0,1.0,1.0
