Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,9,55,46,483,246,179,23,0.7110633727175081,0.6625514403292181,0.9545454545454546,0.7821862348178138,0.6878609625668449
10,9,31,22,240,136,77,13,0.6802575107296137,0.6382978723404256,0.9486166007905138,0.7631160572337043,0.6550594741041771
15,9,30,21,157,58,82,14,0.7684887459807074,0.7302325581395349,0.9181286549707602,0.8134715025906736,0.751921470342523
20,9,29,20,106,30,76,21,0.7811158798283262,0.7794117647058824,0.8346456692913385,0.8060836501901141,0.7758134006834051
25,9,23,14,89,30,54,14,0.7647058823529411,0.7478991596638656,0.8640776699029126,0.8018018018018018,0.7534674063800277
30,9,23,14,75,20,52,9,0.8141025641025641,0.7894736842105263,0.8928571428571429,0.8379888268156425,0.8075396825396826
35,8,20,12,64,26,36,7,0.7518796992481203,0.7111111111111111,0.9014084507042254,0.7950310559006211,0.741026805997274
40,9,19,10,56,17,36,8,0.7863247863247863,0.7671232876712328,0.875,0.8175182481751825,0.7771226415094339
45,9,21,12,47,14,32,11,0.7596153846153846,0.7704918032786885,0.8103448275862069,0.7899159663865546,0.7529985007496252
50,9,18,9,40,12,30,12,0.7446808510638298,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7417582417582418
55,8,11,3,44,21,19,1,0.7411764705882353,0.676923076923077,0.9777777777777777,0.8,0.7263888888888889
60,8,17,9,30,16,21,11,0.6538461538461539,0.6521739130434783,0.7317073170731707,0.6896551724137931,0.6496374423203691
65,8,14,6,35,17,16,4,0.7083333333333334,0.6730769230769231,0.8974358974358975,0.7692307692307693,0.6911421911421911
70,8,17,9,28,11,21,7,0.7313432835820896,0.717948717948718,0.8,0.7567567567567568,0.728125
75,9,11,2,29,12,17,5,0.7301587301587301,0.7073170731707317,0.8529411764705882,0.7733333333333333,0.7195740365111561
80,9,11,2,26,7,19,7,0.7627118644067796,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7593240093240092
85,8,11,3,25,13,13,4,0.6909090909090909,0.6578947368421053,0.8620689655172413,0.746268656716418,0.6810344827586207
90,7,12,5,23,10,15,4,0.7307692307692307,0.696969696969697,0.8518518518518519,0.7666666666666667,0.7259259259259259
95,8,7,-1,22,12,13,2,0.7142857142857143,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.7183333333333333
100,6,11,5,17,3,19,8,0.7659574468085106,0.85,0.68,0.7555555555555555,0.7718181818181818
