Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,74,59,232,73,336,292,0.6087888531618435,0.760655737704918,0.44274809160305345,0.5597104945717732,0.6321319920117957
10,15,44,29,225,120,84,38,0.6616702355460385,0.6521739130434783,0.8555133079847909,0.7401315789473685,0.6336390069335719
15,15,43,28,98,42,93,78,0.6141479099678456,0.7,0.5568181818181818,0.620253164556962,0.6228535353535354
20,15,27,12,102,49,54,29,0.6666666666666666,0.6754966887417219,0.7786259541984732,0.723404255319149,0.6514488994293337
25,15,24,9,80,38,45,24,0.6684491978609626,0.6779661016949152,0.7692307692307693,0.7207207207207207,0.6556997219647822
30,14,21,7,50,14,51,41,0.6474358974358975,0.78125,0.5494505494505495,0.6451612903225806,0.6670329670329671
35,15,24,9,45,25,34,30,0.5895522388059702,0.6428571428571429,0.6,0.6206896551724138,0.5881355932203389
40,14,16,2,44,16,35,22,0.6752136752136753,0.7333333333333333,0.6666666666666666,0.6984126984126984,0.6764705882352942
45,13,19,6,36,16,27,25,0.6057692307692307,0.6923076923076923,0.5901639344262295,0.6371681415929203,0.6090354555852078
50,13,20,7,40,20,20,14,0.6382978723404256,0.6666666666666666,0.7407407407407407,0.7017543859649122,0.6203703703703703
55,14,20,6,21,12,27,25,0.5647058823529412,0.6363636363636364,0.45652173913043476,0.5316455696202531,0.5744147157190636
60,12,16,4,32,11,21,14,0.6794871794871795,0.7441860465116279,0.6956521739130435,0.7191011235955056,0.6759510869565217
65,12,15,3,26,8,23,15,0.6805555555555556,0.7647058823529411,0.6341463414634146,0.6933333333333334,0.6880409126671911
70,12,12,0,20,12,17,18,0.5522388059701493,0.625,0.5263157894736842,0.5714285714285714,0.5562613430127041
75,12,13,1,25,8,18,12,0.6825396825396826,0.7575757575757576,0.6756756756756757,0.7142857142857143,0.683991683991684
80,13,10,-3,21,11,17,10,0.6440677966101694,0.65625,0.6774193548387096,0.6666666666666666,0.6422811059907834
85,11,12,1,21,14,10,10,0.5636363636363636,0.6,0.6774193548387096,0.6363636363636364,0.5470430107526881
90,10,13,3,18,6,15,13,0.6346153846153846,0.75,0.5806451612903226,0.6545454545454545,0.6474654377880185
