teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
sem_erro,catboost,lacuna,20,5,5,947,947,265,682,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_lacuna_jan20_passo5_eventos.png
sem_erro,catboost,oscilacao,100,100,100,47,47,29,18,0,47,0,6,6,0.6382978723404256,0.6382978723404256,0.0,0.0,0.0,0.6382978723268448,30,17,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_oscilacao_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_oscilacao_jan100_passo100_eventos.png
sem_erro,catboost,queda,30,30,30,158,158,41,117,0,158,0,12,12,0.9240506329113924,0.9240506329113924,0.0,0.0,0.0,0.924050632905544,146,12,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_queda_jan30_passo30_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_queda_jan30_passo30_eventos.png
sem_erro,mlp,lacuna,20,15,15,316,316,92,224,0,316,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999968355,316,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_lacuna_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_lacuna_jan20_passo15_eventos.png
sem_erro,mlp,oscilacao,100,100,100,47,47,29,18,0,47,0,4,4,0.8723404255319149,0.8723404255319149,0.0,0.0,0.0,0.8723404255133546,41,6,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_oscilacao_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_oscilacao_jan100_passo100_eventos.png
sem_erro,mlp,queda,20,5,5,947,947,218,729,0,947,0,14,14,0.9809926082365364,0.9809926082365364,0.0,0.0,0.0,0.9809926082355005,929,18,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_queda_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_queda_jan20_passo5_eventos.png
sem_erro,random_forest,lacuna,20,5,5,947,947,265,682,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_lacuna_jan20_passo5_eventos.png
sem_erro,random_forest,oscilacao,100,100,100,47,47,29,18,0,47,0,10,10,0.3829787234042553,0.3829787234042553,0.0,0.0,0.0,0.3829787233961069,18,29,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_oscilacao_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_oscilacao_jan100_passo100_eventos.png
sem_erro,random_forest,queda,50,45,45,105,105,34,71,0,105,0,10,10,0.8952380952380953,0.8952380952380953,0.0,0.0,0.0,0.8952380952295691,94,11,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_queda_jan50_passo45_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_queda_jan50_passo45_eventos.png
sem_erro,xgboost,lacuna,20,5,5,947,947,265,682,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_lacuna_jan20_passo5_eventos.png
sem_erro,xgboost,oscilacao,100,90,90,52,52,35,17,0,52,0,8,8,0.5769230769230769,0.5769230769230769,0.0,0.0,0.0,0.5769230769119823,30,22,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_oscilacao_jan100_passo90_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_oscilacao_jan100_passo90_eventos.png
sem_erro,xgboost,queda,90,90,90,52,52,26,26,0,52,0,8,8,0.2692307692307692,0.2692307692307692,0.0,0.0,0.0,0.26923076922559175,14,38,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_queda_jan90_passo90_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_4\sem_erro\Umidade_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_queda_jan90_passo90_eventos.png
