evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-06 16:10:00,2023-11-07 03:30:00,69.0
oscilacao_002,oscilacao,2023-10-20 16:50:00,2023-10-21 01:40:00,54.0
oscilacao_003,oscilacao,2023-10-16 19:30:00,2023-10-17 03:40:00,50.0
oscilacao_004,oscilacao,2023-11-04 22:00:00,2023-11-05 08:20:00,63.0
oscilacao_005,oscilacao,2023-10-10 19:00:00,2023-10-11 04:10:00,56.0
oscilacao_006,oscilacao,2023-10-29 05:10:00,2023-10-29 14:20:00,56.0
oscilacao_007,oscilacao,2023-11-02 19:40:00,2023-11-03 06:30:00,66.0
oscilacao_008,oscilacao,2023-11-02 10:20:00,2023-11-02 19:30:00,56.0
oscilacao_009,oscilacao,2023-11-02 03:40:00,2023-11-02 10:10:00,40.0
oscilacao_010,oscilacao,2023-10-27 13:20:00,2023-10-27 22:30:00,56.0
oscilacao_011,oscilacao,2023-10-08 08:50:00,2023-10-08 20:00:00,68.0
oscilacao_012,oscilacao,2023-10-31 10:00:00,2023-10-31 21:00:00,67.0
oscilacao_013,oscilacao,2023-10-24 19:40:00,2023-10-25 04:40:00,55.0
oscilacao_014,oscilacao,2023-10-21 11:50:00,2023-10-21 23:30:00,71.0
oscilacao_015,oscilacao,2023-11-03 20:20:00,2023-11-04 04:20:00,49.0
oscilacao_016,oscilacao,2023-10-09 21:10:00,2023-10-10 04:50:00,47.0
oscilacao_017,oscilacao,2023-10-25 22:30:00,2023-10-26 08:20:00,60.0
oscilacao_018,oscilacao,2023-10-12 19:50:00,2023-10-13 05:20:00,58.0
oscilacao_019,oscilacao,2023-10-28 18:20:00,2023-10-29 05:00:00,65.0
oscilacao_020,oscilacao,2023-10-27 04:50:00,2023-10-27 11:30:00,41.0
oscilacao_021,oscilacao,2023-10-23 05:00:00,2023-10-23 14:20:00,57.0
oscilacao_022,oscilacao,2023-10-28 03:10:00,2023-10-28 10:20:00,44.0
oscilacao_023,oscilacao,2023-11-03 13:00:00,2023-11-03 20:10:00,44.0
oscilacao_024,oscilacao,2023-10-18 21:20:00,2023-10-19 07:20:00,61.0
oscilacao_025,oscilacao,2023-10-21 03:10:00,2023-10-21 09:10:00,37.0
oscilacao_026,oscilacao,2023-10-29 22:00:00,2023-10-30 06:20:00,51.0
oscilacao_027,oscilacao,2023-10-20 05:10:00,2023-10-20 13:50:00,53.0
oscilacao_028,oscilacao,2023-11-05 15:10:00,2023-11-06 02:50:00,71.0
oscilacao_029,oscilacao,2023-10-11 04:20:00,2023-10-11 14:00:00,59.0
oscilacao_030,oscilacao,2023-11-04 10:00:00,2023-11-04 20:10:00,62.0
lacuna_001,lacuna,2023-10-31 04:10:00,2023-10-31 09:10:00,31.0
lacuna_002,lacuna,2023-10-18 14:50:00,2023-10-18 21:10:00,39.0
lacuna_003,lacuna,2023-11-06 03:00:00,2023-11-06 08:40:00,35.0
lacuna_004,lacuna,2023-10-14 19:00:00,2023-10-15 01:20:00,39.0
lacuna_005,lacuna,2023-10-24 10:40:00,2023-10-24 15:10:00,28.0
lacuna_006,lacuna,2023-10-09 12:40:00,2023-10-09 20:00:00,45.0
lacuna_007,lacuna,2023-10-18 06:50:00,2023-10-18 11:50:00,31.0
lacuna_008,lacuna,2023-10-12 00:00:00,2023-10-12 05:40:00,35.0
