Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,36,36,0,499,434,0,0.46516613076098606,0.0,0.0,0.0,0.46516613076098606
10,0,32,32,0,266,201,0,0.430406852248394,0.0,0.0,0.0,0.430406852248394
15,0,28,28,0,169,142,0,0.4565916398713826,0.0,0.0,0.0,0.4565916398713826
20,0,23,23,0,114,120,0,0.5128205128205128,0.0,0.0,0.0,0.5128205128205128
25,0,26,26,0,106,81,0,0.43315508021390375,0.0,0.0,0.0,0.43315508021390375
30,0,25,25,0,89,67,0,0.42948717948717946,0.0,0.0,0.0,0.42948717948717946
35,0,20,20,0,80,54,0,0.40298507462686567,0.0,0.0,0.0,0.40298507462686567
40,0,18,18,0,58,59,0,0.5042735042735043,0.0,0.0,0.0,0.5042735042735043
45,0,20,20,0,62,42,0,0.40384615384615385,0.0,0.0,0.0,0.40384615384615385
50,0,21,21,0,64,30,0,0.3191489361702128,0.0,0.0,0.0,0.3191489361702128
55,0,16,16,0,54,31,0,0.36470588235294116,0.0,0.0,0.0,0.36470588235294116
60,0,16,16,0,30,48,0,0.6153846153846154,0.0,0.0,0.0,0.6153846153846154
65,0,18,18,0,47,25,0,0.3472222222222222,0.0,0.0,0.0,0.3472222222222222
70,0,16,16,0,38,29,0,0.43283582089552236,0.0,0.0,0.0,0.43283582089552236
75,0,16,16,0,30,33,0,0.5238095238095238,0.0,0.0,0.0,0.5238095238095238
80,0,11,11,0,24,35,0,0.5932203389830508,0.0,0.0,0.0,0.5932203389830508
85,0,8,8,0,34,21,0,0.38181818181818183,0.0,0.0,0.0,0.38181818181818183
90,0,11,11,0,26,26,0,0.5,0.0,0.0,0.0,0.5
