Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,52,52,0,575,358,0,0.3837084673097535,0.0,0.0,0.0,0.3837084673097535
10,0,34,34,0,335,132,0,0.2826552462526767,0.0,0.0,0.0,0.2826552462526767
15,0,34,34,0,208,103,0,0.3311897106109325,0.0,0.0,0.0,0.3311897106109325
20,0,26,26,0,182,52,0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222
25,0,24,24,0,129,58,0,0.31016042780748665,0.0,0.0,0.0,0.31016042780748665
30,0,23,23,0,115,41,0,0.26282051282051283,0.0,0.0,0.0,0.26282051282051283
35,0,18,18,0,98,36,0,0.26865671641791045,0.0,0.0,0.0,0.26865671641791045
40,0,17,17,0,81,36,0,0.3076923076923077,0.0,0.0,0.0,0.3076923076923077
45,0,17,17,0,79,25,0,0.2403846153846154,0.0,0.0,0.0,0.2403846153846154
50,0,15,15,0,77,17,0,0.18085106382978725,0.0,0.0,0.0,0.18085106382978725
55,0,11,11,0,64,21,0,0.24705882352941178,0.0,0.0,0.0,0.24705882352941178
60,0,10,10,0,54,24,0,0.3076923076923077,0.0,0.0,0.0,0.3076923076923077
65,0,8,8,0,62,10,0,0.1388888888888889,0.0,0.0,0.0,0.1388888888888889
70,0,10,10,0,52,15,0,0.22388059701492538,0.0,0.0,0.0,0.22388059701492538
75,0,14,14,0,45,18,0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857
80,0,15,15,0,40,19,0,0.3220338983050847,0.0,0.0,0.0,0.3220338983050847
85,0,10,10,0,42,13,0,0.23636363636363636,0.0,0.0,0.0,0.23636363636363636
90,0,11,11,0,36,16,0,0.3076923076923077,0.0,0.0,0.0,0.3076923076923077
