Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,42,42,0,368,573,0,0.6089266737513284,0.0,0.0,0.0,0.6089266737513284
10,0,37,37,0,183,288,0,0.6114649681528662,0.0,0.0,0.0,0.6114649681528662
15,0,30,30,0,112,202,0,0.643312101910828,0.0,0.0,0.0,0.643312101910828
20,0,28,28,0,96,140,0,0.5932203389830508,0.0,0.0,0.0,0.5932203389830508
25,0,25,25,0,77,112,0,0.5925925925925926,0.0,0.0,0.0,0.5925925925925926
30,0,30,30,0,69,88,0,0.5605095541401274,0.0,0.0,0.0,0.5605095541401274
35,0,28,28,0,59,76,0,0.562962962962963,0.0,0.0,0.0,0.562962962962963
40,0,25,25,0,48,70,0,0.5932203389830508,0.0,0.0,0.0,0.5932203389830508
45,0,25,25,0,38,67,0,0.638095238095238,0.0,0.0,0.0,0.638095238095238
50,0,25,25,0,46,49,0,0.5157894736842106,0.0,0.0,0.0,0.5157894736842106
