Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,77,77,0,697,236,0,0.2529474812433012,0.0,0.0,0.0,0.2529474812433012
10,0,20,20,0,419,48,0,0.10278372591006424,0.0,0.0,0.0,0.10278372591006424
15,0,33,33,0,236,75,0,0.24115755627009647,0.0,0.0,0.0,0.24115755627009647
20,0,11,11,0,209,25,0,0.10683760683760683,0.0,0.0,0.0,0.10683760683760683
25,0,12,12,0,162,25,0,0.13368983957219252,0.0,0.0,0.0,0.13368983957219252
30,0,12,12,0,131,25,0,0.16025641025641027,0.0,0.0,0.0,0.16025641025641027
35,0,15,15,0,108,26,0,0.19402985074626866,0.0,0.0,0.0,0.19402985074626866
40,0,8,8,0,93,24,0,0.20512820512820512,0.0,0.0,0.0,0.20512820512820512
45,0,14,14,0,79,25,0,0.2403846153846154,0.0,0.0,0.0,0.2403846153846154
50,0,8,8,0,82,12,0,0.1276595744680851,0.0,0.0,0.0,0.1276595744680851
55,0,11,11,0,64,21,0,0.24705882352941178,0.0,0.0,0.0,0.24705882352941178
60,0,8,8,0,64,14,0,0.1794871794871795,0.0,0.0,0.0,0.1794871794871795
65,0,12,12,0,56,16,0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222
70,0,5,5,0,58,9,0,0.13432835820895522,0.0,0.0,0.0,0.13432835820895522
75,0,6,6,0,52,11,0,0.1746031746031746,0.0,0.0,0.0,0.1746031746031746
80,0,7,7,0,39,20,0,0.3389830508474576,0.0,0.0,0.0,0.3389830508474576
85,0,9,9,0,46,9,0,0.16363636363636364,0.0,0.0,0.0,0.16363636363636364
90,0,12,12,0,35,17,0,0.3269230769230769,0.0,0.0,0.0,0.3269230769230769
