Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,58,44,207,192,387,153,0.6325878594249201,0.518796992481203,0.575,0.5454545454545454,0.6216968911917098
10,14,42,28,105,107,182,76,0.6106382978723405,0.49528301886792453,0.580110497237569,0.5343511450381679,0.6049341413523486
15,13,34,21,65,73,119,56,0.5878594249201278,0.47101449275362317,0.5371900826446281,0.5019305019305019,0.5784908746556474
20,13,29,16,57,54,90,34,0.625531914893617,0.5135135135135135,0.6263736263736264,0.5643564356435643,0.6256868131868132
25,13,29,16,37,46,71,34,0.574468085106383,0.4457831325301205,0.5211267605633803,0.4805194805194805,0.5639821837004935
30,12,23,11,34,37,59,27,0.5923566878980892,0.4788732394366197,0.5573770491803278,0.5151515151515151,0.5859801912568305
35,13,26,13,32,36,45,22,0.5703703703703704,0.47058823529411764,0.5925925925925926,0.5245901639344263,0.5740740740740741
40,12,23,11,17,33,41,27,0.4915254237288136,0.34,0.38636363636363635,0.3617021276595745,0.4702088452088452
45,11,25,14,24,28,37,16,0.580952380952381,0.46153846153846156,0.6,0.5217391304347826,0.5846153846153845
50,12,19,7,18,26,34,16,0.5531914893617021,0.4090909090909091,0.5294117647058824,0.46153846153846156,0.5480392156862746
55,11,23,12,20,27,27,12,0.5465116279069767,0.425531914893617,0.625,0.5063291139240507,0.5625
60,11,21,10,14,17,31,17,0.569620253164557,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.5487231182795699
