Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,27,27,0,556,379,0,0.4053475935828877,0.0,0.0,0.0,0.4053475935828877
10,0,26,26,0,290,178,0,0.3803418803418803,0.0,0.0,0.0,0.3803418803418803
15,0,26,26,0,197,115,0,0.3685897435897436,0.0,0.0,0.0,0.3685897435897436
20,0,23,23,0,132,102,0,0.4358974358974359,0.0,0.0,0.0,0.4358974358974359
25,0,21,21,0,118,69,0,0.3689839572192513,0.0,0.0,0.0,0.3689839572192513
30,0,24,24,0,93,63,0,0.40384615384615385,0.0,0.0,0.0,0.40384615384615385
35,0,22,22,0,74,60,0,0.44776119402985076,0.0,0.0,0.0,0.44776119402985076
40,0,22,22,0,72,45,0,0.38461538461538464,0.0,0.0,0.0,0.38461538461538464
45,0,24,24,0,58,46,0,0.4423076923076923,0.0,0.0,0.0,0.4423076923076923
50,0,19,19,0,55,39,0,0.4148936170212766,0.0,0.0,0.0,0.4148936170212766
55,0,13,13,0,48,37,0,0.43529411764705883,0.0,0.0,0.0,0.43529411764705883
60,0,14,14,0,52,26,0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
65,0,9,9,0,50,22,0,0.3055555555555556,0.0,0.0,0.0,0.3055555555555556
70,0,15,15,0,37,30,0,0.44776119402985076,0.0,0.0,0.0,0.44776119402985076
75,0,12,12,0,40,23,0,0.36507936507936506,0.0,0.0,0.0,0.36507936507936506
80,0,13,13,0,34,25,0,0.423728813559322,0.0,0.0,0.0,0.423728813559322
