iter	Passed	Remaining
0	6	2523
1	11	2351
2	17	2256
3	22	2218
4	27	2175
5	33	2180
6	38	2164
7	43	2150
8	49	2147
9	55	2147
10	60	2141
11	67	2184
12	75	2238
13	80	2233
14	87	2242
15	93	2237
16	98	2228
17	104	2222
18	110	2215
19	116	2210
20	122	2208
21	128	2212
22	135	2216
23	141	2211
24	147	2205
25	153	2202
26	158	2194
27	165	2201
28	172	2202
29	178	2196
30	183	2188
31	189	2180
32	195	2171
33	200	2163
34	206	2157
35	212	2150
36	218	2146
37	224	2141
38	231	2142
39	238	2144
40	244	2137
41	250	2133
42	256	2127
43	263	2131
44	269	2129
45	276	2125
46	282	2118
47	288	2112
48	293	2104
49	299	2098
50	306	2097
51	312	2092
52	318	2085
53	324	2081
54	330	2075
55	338	2078
56	344	2072
57	350	2066
58	356	2059
59	362	2051
60	368	2046
61	374	2040
62	380	2033
63	386	2028
64	392	2022
65	398	2015
66	404	2009
67	410	2002
68	416	1998
69	422	1992
70	428	1986
71	435	1983
72	441	1978
73	447	1972
74	453	1966
75	459	1960
76	465	1954
77	471	1948
78	478	1944
79	484	1938
80	491	1934
81	497	1930
82	503	1924
83	510	1918
84	516	1912
85	522	1907
86	528	1900
87	534	1896
88	540	1888
89	546	1882
90	552	1877
91	561	1880
92	567	1874
93	574	1870
94	580	1863
95	586	1858
96	592	1851
97	598	1845
98	606	1842
99	612	1837
100	619	1833
101	625	1827
102	632	1822
103	637	1815
104	643	1808
105	649	1801
106	655	1795
107	661	1788
108	667	1781
109	673	1775
110	679	1769
111	685	1762
112	691	1756
113	697	1749
114	703	1742
115	709	1737
116	715	1731
117	721	1725
118	727	1718
119	734	1713
120	740	1708
121	747	1702
122	752	1695
123	758	1689
124	765	1683
125	771	1677
126	777	1671
127	783	1664
128	789	1658
129	795	1651
130	801	1646
131	805	1636
132	811	1629
133	817	1623
134	823	1616
135	830	1611
136	836	1605
137	842	1599
138	848	1593
139	854	1586
140	860	1580
141	866	1574
142	872	1567
143	878	1561
144	884	1554
145	890	1549
146	896	1543
147	902	1537
148	910	1533
149	916	1527
150	923	1522
151	929	1516
152	936	1511
153	942	1505
154	948	1499
155	954	1493
156	962	1488
157	967	1482
158	973	1476
159	978	1467
160	986	1463
161	991	1457
162	999	1452
163	1005	1446
164	1011	1440
165	1017	1434
166	1023	1428
167	1029	1422
168	1036	1417
169	1044	1413
170	1052	1409
171	1058	1403
172	1065	1397
173	1071	1391
174	1077	1385
175	1083	1378
176	1089	1372
177	1094	1365
178	1100	1358
179	1106	1352
180	1112	1346
181	1118	1340
182	1125	1334
183	1131	1328
184	1137	1322
185	1143	1315
186	1149	1309
187	1155	1302
188	1161	1296
189	1167	1290
190	1173	1284
191	1179	1278
192	1186	1272
193	1192	1266
194	1198	1260
195	1204	1253
196	1210	1247
197	1216	1241
198	1222	1234
199	1228	1228
200	1236	1223
201	1243	1219
202	1249	1212
203	1256	1206
204	1263	1201
205	1270	1196
206	1279	1192
207	1288	1189
208	1296	1185
209	1306	1182
210	1315	1178
211	1323	1173
212	1331	1169
213	1340	1165
214	1349	1161
215	1358	1156
216	1367	1152
217	1378	1150
218	1388	1147
219	1401	1146
220	1411	1143
221	1421	1139
222	1433	1137
223	1440	1131
224	1447	1126
225	1454	1119
226	1460	1113
227	1467	1107
228	1473	1100
229	1479	1093
230	1486	1087
231	1492	1081
232	1499	1074
233	1506	1068
234	1512	1061
235	1518	1055
236	1524	1048
237	1533	1043
238	1541	1038
239	1548	1032
240	1554	1025
241	1560	1018
242	1566	1012
243	1572	1005
244	1578	998
245	1584	992
246	1590	985
247	1596	978
248	1602	971
249	1608	965
250	1614	958
251	1620	951
252	1627	945
253	1634	939
254	1640	932
255	1646	925
256	1652	919
257	1659	913
258	1665	906
259	1671	899
260	1677	893
261	1682	886
262	1689	880
263	1695	873
264	1701	866
265	1707	860
266	1713	853
267	1720	847
268	1726	840
269	1733	834
270	1739	828
271	1745	821
272	1751	814
273	1757	808
274	1763	801
275	1768	794
276	1774	787
277	1780	781
278	1787	775
279	1793	768
280	1799	761
281	1805	755
282	1812	749
283	1818	742
284	1824	736
285	1830	729
286	1836	722
287	1842	716
288	1848	709
289	1855	703
290	1861	697
291	1867	690
292	1873	684
293	1880	677
294	1886	671
295	1892	665
296	1898	658
297	1905	652
298	1911	645
299	1917	639
300	1923	632
301	1930	626
302	1937	620
303	1943	613
304	1949	607
305	1955	600
306	1961	594
307	1968	587
308	1974	581
309	1981	575
310	1988	568
311	1994	562
312	2000	556
313	2006	549
314	2012	543
315	2020	537
316	2027	530
317	2041	526
318	2047	519
319	2053	513
320	2059	506
321	2065	500
322	2073	494
323	2079	487
324	2085	481
325	2091	474
326	2096	468
327	2103	461
328	2109	455
329	2115	448
330	2121	442
331	2127	435
332	2134	429
333	2140	422
334	2146	416
335	2153	410
336	2159	403
337	2165	397
338	2171	390
339	2177	384
340	2183	377
341	2189	371
342	2195	364
343	2202	358
344	2209	352
345	2215	345
346	2221	339
347	2228	333
348	2235	326
349	2242	320
350	2248	313
351	2255	307
352	2261	301
353	2268	294
354	2274	288
355	2280	281
356	2286	275
357	2292	268
358	2298	262
359	2305	256
360	2311	249
361	2317	243
362	2323	236
363	2330	230
364	2336	224
365	2342	217
366	2348	211
367	2354	204
368	2360	198
369	2366	191
370	2373	185
371	2379	179
372	2385	172
373	2391	166
374	2398	159
375	2404	153
376	2411	147
377	2417	140
378	2423	134
379	2430	127
380	2437	121
381	2443	115
382	2449	108
383	2455	102
384	2461	95
385	2467	89
386	2473	83
387	2479	76
388	2486	70
389	2492	63
390	2498	57
391	2504	51
392	2510	44
393	2518	38
394	2526	31
395	2532	25
396	2539	19
397	2545	12
398	2551	6
399	2557	0
