falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp
lacuna,10,1,1,13383,343,13040,5,1.0,1.0,1.0,1.0,1.0,10855,0,0,295
lacuna,10,5,5,2677,71,2606,5,1.0,1.0,1.0,1.0,1.0,2169,0,0,61
lacuna,10,n/3,3,4461,114,4347,5,1.0,1.0,1.0,1.0,1.0,3617,0,0,98
lacuna,20,1,1,13373,483,12890,5,1.0,1.0,1.0,1.0,1.0,10725,0,0,415
lacuna,20,5,5,2675,99,2576,5,1.0,1.0,1.0,1.0,1.0,2140,0,0,85
lacuna,20,n/3,6,2229,80,2149,5,1.0,1.0,1.0,1.0,1.0,1787,0,0,68
lacuna,30,1,1,13363,623,12740,5,1.0,1.0,1.0,1.0,1.0,10600,0,0,535
lacuna,30,5,5,2673,127,2546,5,1.0,1.0,1.0,1.0,1.0,2116,0,0,109
lacuna,30,n/3,10,1337,65,1272,5,1.0,1.0,1.0,1.0,1.0,1055,0,0,55
lacuna,40,1,1,13353,763,12590,5,1.0,1.0,1.0,1.0,1.0,10470,0,0,655
lacuna,40,5,5,2671,155,2516,5,1.0,1.0,1.0,1.0,1.0,2092,0,0,133
lacuna,50,1,1,13343,903,12440,5,1.0,1.0,1.0,1.0,1.0,10340,0,0,775
lacuna,50,5,5,2669,183,2486,5,1.0,1.0,1.0,1.0,1.0,2063,0,0,157
lacuna,60,1,1,13333,1043,12290,5,1.0,1.0,1.0,1.0,1.0,10215,0,0,895
lacuna,60,5,5,2667,211,2456,5,1.0,1.0,1.0,1.0,1.0,2039,0,0,181
lacuna,60,n/3,20,667,53,614,5,1.0,1.0,1.0,1.0,1.0,510,0,0,45
lacuna,70,1,1,13323,1183,12140,5,1.0,1.0,1.0,1.0,1.0,10085,0,0,1015
lacuna,70,5,5,2665,239,2426,5,1.0,1.0,1.0,1.0,1.0,2015,0,0,205
lacuna,80,1,1,13313,1323,11990,5,1.0,1.0,1.0,1.0,1.0,9955,0,0,1135
lacuna,80,5,5,2663,267,2396,5,1.0,1.0,1.0,1.0,1.0,1986,0,0,229
lacuna,90,1,1,13303,1463,11840,5,1.0,1.0,1.0,1.0,1.0,9830,0,0,1255
lacuna,90,5,5,2661,295,2366,5,1.0,1.0,1.0,1.0,1.0,1962,0,0,253
lacuna,100,1,1,13293,1603,11690,5,1.0,1.0,1.0,1.0,1.0,9700,0,0,1375
lacuna,100,5,5,2659,323,2336,5,1.0,1.0,1.0,1.0,1.0,1938,0,0,277
lacuna,90,n/3,30,444,51,393,5,0.9972972972972973,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471,327,0,1,42
lacuna,100,n/3,33,403,47,356,5,0.9970149253731343,0.9875,1.0,0.975,0.9873417721518988,295,0,1,39
lacuna,80,n/3,26,513,50,463,5,0.9952941176470588,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,383,0,2,40
lacuna,40,n/3,13,1028,57,971,5,0.9964912280701754,0.9693877551020409,1.0,0.9387755102040817,0.968421052631579,806,0,3,46
lacuna,50,n/3,16,834,56,778,5,0.99568345323741,0.96875,1.0,0.9375,0.967741935483871,647,0,3,45
lacuna,70,n/3,23,580,57,523,5,0.9854166666666667,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,431,0,7,42
oscilacao,100,1,1,13293,2184,11109,5,0.9883521444695259,0.9814584432466631,0.9602543720190779,0.9710610932475884,0.9656274980015987,9134,75,54,1812
oscilacao,50,n/3,16,834,87,747,5,0.9913669064748202,0.9709950226842268,0.971830985915493,0.9452054794520548,0.9583333333333334,620,2,4,69
oscilacao,80,1,1,13313,1864,11449,5,0.987917042380523,0.9785046370599649,0.9509316770186336,0.9653215636822194,0.958072590738423,9425,79,55,1531
oscilacao,80,n/3,26,513,72,441,5,0.9858823529411764,0.9781120518825437,0.9365079365079365,0.9672131147540983,0.9516129032258065,360,4,2,59
oscilacao,100,n/3,33,403,67,336,5,0.982089552238806,0.9682885270730783,0.9473684210526315,0.9473684210526315,0.9473684210526315,275,3,3,54
oscilacao,70,1,1,13323,1704,11619,5,0.9855855855855856,0.976425827404116,0.9280958721704394,0.9640387275242047,0.9457259158751696,9546,108,52,1394
oscilacao,60,1,1,13333,1544,11789,5,0.9856885688568857,0.9716482880694381,0.9270290394638868,0.9532924961715161,0.9399773499433749,9706,98,61,1245
oscilacao,100,5,5,2659,440,2219,5,0.9792325056433409,0.9705667974037695,0.9230769230769231,0.9574468085106383,0.9399477806788512,1809,30,16,360
oscilacao,90,1,1,13303,2024,11279,5,0.9805142083897158,0.9754658611183094,0.912117903930131,0.9681344148319815,0.93929173693086,9198,161,55,1671
oscilacao,90,5,5,2661,408,2253,5,0.9778781038374718,0.9693427589900818,0.9073569482288828,0.9568965517241379,0.9314685314685315,1833,34,15,333
oscilacao,60,5,5,2667,312,2355,5,0.9806306306306306,0.9660717605502882,0.8960573476702509,0.946969696969697,0.9208103130755064,1927,29,14,250
oscilacao,80,5,5,2663,376,2287,5,0.9756207674943567,0.9649736147757255,0.8888888888888888,0.95,0.918429003021148,1857,38,16,304
oscilacao,10,1,1,13383,715,12668,5,0.9914798206278027,0.9363432822575124,0.9631675874769797,0.8745819397993311,0.9167397020157756,10532,20,75,523
oscilacao,40,n/3,13,1028,96,932,5,0.9836257309941521,0.9577950043066322,0.9036144578313253,0.9259259259259259,0.9146341463414634,766,8,6,75
oscilacao,70,5,5,2665,344,2321,5,0.9765765765765766,0.9647196328085034,0.8821656050955414,0.9486301369863014,0.9141914191419142,1891,37,15,277
oscilacao,10,n/3,3,4461,238,4223,5,0.9911170928667564,0.938418628981083,0.9510869565217391,0.8793969849246231,0.9138381201044387,3507,9,24,175
oscilacao,20,1,1,13373,893,12480,5,0.9884201077199282,0.9458899777712549,0.9278779472954231,0.8967828418230563,0.9120654396728016,10342,52,77,669
oscilacao,50,5,5,2669,280,2389,5,0.9792792792792793,0.9697409786768726,0.8625954198473282,0.9576271186440678,0.9076305220883534,1948,36,10,226
oscilacao,50,1,1,13343,1384,11959,5,0.9798470535312641,0.9633790565158467,0.875,0.9425385934819898,0.9075144508670521,9792,157,67,1099
oscilacao,20,n/3,6,2229,149,2080,5,0.9865229110512129,0.9742196531791907,0.8571428571428571,0.96,0.9056603773584906,1710,20,5,120
oscilacao,30,1,1,13363,1063,12300,5,0.9850920520880108,0.937253472066977,0.9285714285714286,0.8803611738148984,0.9038238702201622,10189,60,106,780
oscilacao,90,n/3,30,444,68,376,5,0.9675675675675676,0.9597148541114058,0.859375,0.9482758620689655,0.9016393442622951,303,9,3,55
oscilacao,30,5,5,2673,215,2458,5,0.9829213483146068,0.9704428144525945,0.8514851485148515,0.9555555555555556,0.900523560209424,2015,30,8,172
oscilacao,70,n/3,23,580,70,510,5,0.9708333333333333,0.9469382825395547,0.8571428571428571,0.9152542372881356,0.8852459016393442,412,9,5,54
