modelo,classe,precision,recall,f1,support
RF,lacuna,0.09523809523809523,0.5,0.16,4
RF,normal,0.8508771929824561,0.9765100671140939,0.909375,298
RF,oscilacao,0.0,0.0,0.0,30
RF,queda,0.0,0.0,0.0,0
RF,stuck,0.0,0.0,0.0,25
RF,stuck_at_zero,0.0,0.0,0.0,23
MLP,lacuna,0.09090909090909091,0.5,0.15384615384615385,4
MLP,normal,0.8301282051282052,0.8691275167785235,0.8491803278688524,298
MLP,oscilacao,0.0,0.0,0.0,30
MLP,queda,0.0,0.0,0.0,0
MLP,stuck,0.0,0.0,0.0,25
MLP,stuck_at_zero,0.0,0.0,0.0,23
XGB,lacuna,0.031746031746031744,0.5,0.05970149253731343,4
XGB,normal,0.8503401360544217,0.8389261744966443,0.8445945945945946,298
XGB,oscilacao,0.0,0.0,0.0,30
XGB,queda,0.0,0.0,0.0,0
XGB,stuck,0.0,0.0,0.0,25
XGB,stuck_at_zero,0.0,0.0,0.0,23
CAT,lacuna,0.125,0.5,0.2,4
CAT,normal,0.8753709198813057,0.9899328859060402,0.9291338582677166,298
CAT,oscilacao,1.0,0.03333333333333333,0.06451612903225806,30
CAT,queda,0.0,0.0,0.0,0
CAT,stuck,0.0,0.0,0.0,25
CAT,stuck_at_zero,0.0,0.0,0.0,23
