rodada,cenario,base,falha,quantidade_eventos
1,com_erro,teste,lacuna,25
1,com_erro,teste,oscilacao,21
1,com_erro,teste,queda,23
1,com_erro,treino,lacuna,26
1,com_erro,treino,oscilacao,29
1,com_erro,treino,queda,29
1,sem_erro,treino,lacuna,27
1,sem_erro,treino,oscilacao,30
1,sem_erro,treino,queda,30
2,com_erro,teste,lacuna,30
2,com_erro,teste,oscilacao,30
2,com_erro,teste,queda,22
2,com_erro,treino,lacuna,24
2,com_erro,treino,oscilacao,26
2,com_erro,treino,queda,28
2,sem_erro,treino,lacuna,25
2,sem_erro,treino,oscilacao,27
2,sem_erro,treino,queda,29
3,com_erro,teste,lacuna,24
3,com_erro,teste,oscilacao,29
3,com_erro,teste,queda,31
3,com_erro,treino,lacuna,22
3,com_erro,treino,oscilacao,23
3,com_erro,treino,queda,26
3,sem_erro,treino,lacuna,23
3,sem_erro,treino,oscilacao,24
3,sem_erro,treino,queda,27
4,com_erro,teste,lacuna,28
4,com_erro,teste,oscilacao,28
4,com_erro,teste,queda,26
4,com_erro,treino,lacuna,20
4,com_erro,treino,oscilacao,27
4,com_erro,treino,queda,21
4,sem_erro,treino,lacuna,21
4,sem_erro,treino,oscilacao,28
4,sem_erro,treino,queda,22
5,com_erro,teste,lacuna,28
5,com_erro,teste,oscilacao,24
5,com_erro,teste,queda,27
5,com_erro,treino,lacuna,20
5,com_erro,treino,oscilacao,24
5,com_erro,treino,queda,30
5,sem_erro,treino,lacuna,21
5,sem_erro,treino,oscilacao,25
5,sem_erro,treino,queda,31
