Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,27,13,428,216,264,29,0.7385272145144077,0.6645962732919255,0.936542669584245,0.7774750227066304,0.7432713347921225
10,13,26,13,214,106,132,17,0.7377398720682303,0.66875,0.9264069264069265,0.7767695099818511,0.7405143875732112
15,13,21,8,142,68,92,11,0.7476038338658147,0.6761904761904762,0.9281045751633987,0.7823691460055097,0.7515522875816993
20,13,20,7,105,57,62,11,0.7106382978723405,0.6481481481481481,0.9051724137931034,0.7553956834532374,0.713090408577224
25,13,20,7,82,44,55,7,0.7287234042553191,0.6507936507936508,0.9213483146067416,0.7627906976744186,0.7384519350811486
30,13,15,2,71,38,42,6,0.7197452229299363,0.6513761467889908,0.922077922077922,0.7634408602150538,0.7235389610389611
35,13,17,4,62,33,35,4,0.7238805970149254,0.6526315789473685,0.9393939393939394,0.7701863354037267,0.7270499108734403
40,12,15,3,53,24,33,8,0.7288135593220338,0.6883116883116883,0.8688524590163934,0.7681159420289855,0.723899913718723
45,13,13,0,45,27,26,7,0.6761904761904762,0.625,0.8653846153846154,0.7258064516129032,0.6779753265602322
50,13,14,1,41,23,26,4,0.7127659574468085,0.640625,0.9111111111111111,0.7522935779816514,0.7208616780045352
55,13,14,1,38,20,24,4,0.7209302325581395,0.6551724137931034,0.9047619047619048,0.76,0.725108225108225
60,12,13,1,37,16,23,3,0.759493670886076,0.6981132075471698,0.925,0.7956989247311828,0.7573717948717948
65,12,12,0,32,19,17,5,0.6712328767123288,0.6274509803921569,0.8648648648648649,0.7272727272727273,0.6685435435435436
70,11,10,-1,32,20,12,3,0.6567164179104478,0.6153846153846154,0.9142857142857143,0.735632183908046,0.6446428571428571
