Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,39,25,329,130,434,44,0.8143009605122732,0.7167755991285403,0.8820375335120644,0.7908653846153846,0.8257705398056776
10,14,36,22,165,55,228,21,0.837953091684435,0.75,0.8870967741935484,0.812807881773399,0.8463752422204491
15,14,24,10,110,35,152,16,0.8370607028753994,0.7586206896551724,0.873015873015873,0.8118081180811808,0.8429250488074018
20,14,25,11,81,24,117,13,0.8425531914893617,0.7714285714285715,0.8617021276595744,0.8140703517587939,0.8457446808510638
25,12,21,9,64,24,88,12,0.8085106382978723,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.8139097744360901
30,14,19,5,49,14,81,13,0.8280254777070064,0.7777777777777778,0.7903225806451613,0.784,0.8214770797962648
35,12,20,8,46,19,62,7,0.8059701492537313,0.7076923076923077,0.8679245283018868,0.7796610169491526,0.8166783135336595
40,14,18,4,37,8,62,11,0.8389830508474576,0.8222222222222222,0.7708333333333334,0.7956989247311828,0.8282738095238096
45,12,13,1,37,5,57,6,0.8952380952380953,0.8809523809523809,0.8604651162790697,0.8705882352941177,0.8899099774943735
50,12,14,2,29,8,49,8,0.8297872340425532,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.8217164532954007
55,11,14,3,30,9,43,4,0.8488372093023255,0.7692307692307693,0.8823529411764706,0.821917808219178,0.8546380090497737
60,14,17,3,21,6,44,8,0.8227848101265823,0.7777777777777778,0.7241379310344828,0.75,0.8020689655172414
65,12,11,-1,20,3,41,9,0.8356164383561644,0.8695652173913043,0.6896551724137931,0.7692307692307693,0.8107366771159874
70,11,16,5,21,9,32,5,0.7910447761194029,0.7,0.8076923076923077,0.75,0.7940900562851783
