Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,21,7,334,87,477,39,0.8655282817502669,0.7933491686460807,0.8954423592493298,0.8413098236775819,0.8705935200501969
10,14,19,5,166,36,247,20,0.8805970149253731,0.8217821782178217,0.8924731182795699,0.8556701030927835,0.8826323188570995
15,14,18,4,109,25,162,17,0.865814696485623,0.8134328358208955,0.8650793650793651,0.8384615384615385,0.8656947627535863
20,14,19,5,82,19,122,12,0.8680851063829788,0.8118811881188119,0.8723404255319149,0.841025641025641,0.8687943262411348
25,12,16,4,64,13,99,12,0.8670212765957447,0.8311688311688312,0.8421052631578947,0.8366013071895425,0.863016917293233
30,14,16,2,53,13,82,9,0.8598726114649682,0.803030303030303,0.8548387096774194,0.828125,0.8589983022071308
35,12,17,5,46,12,69,7,0.8582089552238806,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.8598881900768693
40,14,18,4,35,9,61,13,0.8135593220338984,0.7954545454545454,0.7291666666666666,0.7608695652173914,0.800297619047619
45,12,15,3,36,5,57,7,0.8857142857142857,0.8780487804878049,0.8372093023255814,0.8571428571428571,0.8782820705176294
50,12,15,3,32,5,52,5,0.8936170212765957,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8885727833096254
55,11,13,2,28,9,43,6,0.8255813953488372,0.7567567567567568,0.8235294117647058,0.7887323943661971,0.8252262443438914
60,14,14,0,24,7,43,5,0.8481012658227848,0.7741935483870968,0.8275862068965517,0.8,0.8437931034482758
65,12,10,-2,23,5,39,6,0.8493150684931506,0.8214285714285714,0.7931034482758621,0.8070175438596491,0.8397335423197492
70,11,14,3,24,5,36,2,0.8955223880597015,0.8275862068965517,0.9230769230769231,0.8727272727272727,0.9005628517823641
