evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-20 01:40:00,2023-10-20 09:10:00,46.0
oscilacao_002,oscilacao,2023-10-24 19:40:00,2023-10-25 06:30:00,66.0
oscilacao_003,oscilacao,2023-10-25 20:00:00,2023-10-26 02:40:00,41.0
oscilacao_004,oscilacao,2023-11-02 08:50:00,2023-11-02 19:00:00,62.0
oscilacao_005,oscilacao,2023-10-07 17:00:00,2023-10-08 01:40:00,53.0
oscilacao_006,oscilacao,2023-10-29 07:30:00,2023-10-29 19:00:00,70.0
oscilacao_007,oscilacao,2023-10-17 17:10:00,2023-10-18 00:40:00,46.0
oscilacao_008,oscilacao,2023-10-31 04:00:00,2023-10-31 10:40:00,41.0
oscilacao_009,oscilacao,2023-10-23 00:00:00,2023-10-23 10:00:00,61.0
oscilacao_010,oscilacao,2023-10-26 23:00:00,2023-10-27 06:10:00,44.0
oscilacao_011,oscilacao,2023-10-30 09:20:00,2023-10-30 20:50:00,70.0
oscilacao_012,oscilacao,2023-10-14 14:30:00,2023-10-14 22:10:00,47.0
oscilacao_013,oscilacao,2023-10-09 16:30:00,2023-10-09 22:40:00,38.0
oscilacao_014,oscilacao,2023-10-23 21:20:00,2023-10-24 06:30:00,56.0
oscilacao_015,oscilacao,2023-10-12 00:10:00,2023-10-12 08:20:00,50.0
oscilacao_016,oscilacao,2023-10-22 06:50:00,2023-10-22 13:30:00,41.0
oscilacao_017,oscilacao,2023-10-27 10:10:00,2023-10-27 21:20:00,68.0
oscilacao_018,oscilacao,2023-10-28 00:20:00,2023-10-28 06:10:00,36.0
oscilacao_019,oscilacao,2023-10-17 05:50:00,2023-10-17 17:00:00,68.0
oscilacao_020,oscilacao,2023-10-18 00:50:00,2023-10-18 08:40:00,48.0
oscilacao_021,oscilacao,2023-11-06 07:50:00,2023-11-06 18:30:00,65.0
oscilacao_022,oscilacao,2023-10-18 23:40:00,2023-10-19 09:50:00,62.0
oscilacao_023,oscilacao,2023-10-28 11:40:00,2023-10-28 18:10:00,40.0
oscilacao_024,oscilacao,2023-10-14 04:00:00,2023-10-14 14:20:00,63.0
oscilacao_025,oscilacao,2023-10-13 01:30:00,2023-10-13 08:50:00,45.0
oscilacao_026,oscilacao,2023-10-26 05:30:00,2023-10-26 15:40:00,62.0
oscilacao_027,oscilacao,2023-11-07 09:30:00,2023-11-07 19:40:00,62.0
oscilacao_028,oscilacao,2023-10-09 04:20:00,2023-10-09 13:40:00,57.0
oscilacao_029,oscilacao,2023-10-21 13:50:00,2023-10-21 23:10:00,57.0
lacuna_001,lacuna,2023-11-08 10:00:00,2023-11-08 17:30:00,46.0
lacuna_002,lacuna,2023-10-10 11:20:00,2023-10-10 16:00:00,29.0
lacuna_003,lacuna,2023-10-07 07:20:00,2023-10-07 13:50:00,40.0
lacuna_004,lacuna,2023-10-16 22:10:00,2023-10-17 05:40:00,46.0
lacuna_005,lacuna,2023-10-08 14:30:00,2023-10-08 22:20:00,48.0
lacuna_006,lacuna,2023-11-06 18:40:00,2023-11-07 01:20:00,41.0
lacuna_007,lacuna,2023-11-07 01:30:00,2023-11-07 05:20:00,24.0
lacuna_008,lacuna,2023-10-22 18:50:00,2023-10-22 23:50:00,31.0
lacuna_009,lacuna,2023-10-29 21:40:00,2023-10-30 04:30:00,42.0
lacuna_010,lacuna,2023-10-11 08:20:00,2023-10-11 15:00:00,41.0
lacuna_011,lacuna,2023-10-12 08:30:00,2023-10-12 13:30:00,31.0
lacuna_012,lacuna,2023-11-02 21:30:00,2023-11-03 01:30:00,25.0
lacuna_013,lacuna,2023-11-01 18:00:00,2023-11-01 23:50:00,36.0
lacuna_014,lacuna,2023-10-28 18:20:00,2023-10-28 22:30:00,26.0
lacuna_015,lacuna,2023-10-30 21:00:00,2023-10-31 01:00:00,25.0
lacuna_016,lacuna,2023-10-10 00:40:00,2023-10-10 07:40:00,43.0
lacuna_017,lacuna,2023-11-01 05:00:00,2023-11-01 12:50:00,48.0
lacuna_018,lacuna,2023-11-07 19:50:00,2023-11-08 01:30:00,35.0
lacuna_019,lacuna,2023-10-28 22:40:00,2023-10-29 05:30:00,42.0
lacuna_020,lacuna,2023-10-31 10:50:00,2023-10-31 14:50:00,25.0
lacuna_021,lacuna,2023-10-08 22:30:00,2023-10-09 03:40:00,32.0
lacuna_022,lacuna,2023-10-23 11:00:00,2023-10-23 17:50:00,42.0
