Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,20,20,0,133,798,0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571
10,0,12,12,0,75,391,0,0.8390557939914163,0.0,0.0,0.0,0.8390557939914163
15,0,8,8,0,43,268,0,0.8617363344051447,0.0,0.0,0.0,0.8617363344051447
20,0,11,11,0,46,187,0,0.8025751072961373,0.0,0.0,0.0,0.8025751072961373
25,0,6,6,0,31,156,0,0.8342245989304813,0.0,0.0,0.0,0.8342245989304813
30,0,9,9,0,40,116,0,0.7435897435897436,0.0,0.0,0.0,0.7435897435897436
35,0,8,8,0,26,107,0,0.8045112781954887,0.0,0.0,0.0,0.8045112781954887
40,0,8,8,0,25,92,0,0.7863247863247863,0.0,0.0,0.0,0.7863247863247863
45,0,10,10,0,30,74,0,0.7115384615384616,0.0,0.0,0.0,0.7115384615384616
50,0,3,3,0,24,70,0,0.7446808510638298,0.0,0.0,0.0,0.7446808510638298
55,0,4,4,0,26,59,0,0.6941176470588235,0.0,0.0,0.0,0.6941176470588235
60,0,4,4,0,19,59,0,0.7564102564102564,0.0,0.0,0.0,0.7564102564102564
65,0,6,6,0,27,45,0,0.625,0.0,0.0,0.0,0.625
70,0,9,9,0,16,51,0,0.7611940298507462,0.0,0.0,0.0,0.7611940298507462
75,0,1,1,0,1,62,0,0.9841269841269841,0.0,0.0,0.0,0.9841269841269841
80,0,5,5,0,14,45,0,0.7627118644067796,0.0,0.0,0.0,0.7627118644067796
85,0,5,5,0,7,48,0,0.8727272727272727,0.0,0.0,0.0,0.8727272727272727
90,0,5,5,0,14,38,0,0.7307692307692307,0.0,0.0,0.0,0.7307692307692307
95,0,7,7,0,15,34,0,0.6938775510204082,0.0,0.0,0.0,0.6938775510204082
100,0,3,3,0,9,38,0,0.8085106382978723,0.0,0.0,0.0,0.8085106382978723
