Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,63,63,0,538,395,0,0.42336548767416937,0.0,0.0,0.0,0.42336548767416937
10,0,47,47,0,279,188,0,0.4025695931477516,0.0,0.0,0.0,0.4025695931477516
15,0,43,43,0,151,160,0,0.5144694533762058,0.0,0.0,0.0,0.5144694533762058
20,0,25,25,0,142,92,0,0.39316239316239315,0.0,0.0,0.0,0.39316239316239315
25,0,22,22,0,68,119,0,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364
30,0,21,21,0,76,80,0,0.5128205128205128,0.0,0.0,0.0,0.5128205128205128
35,0,10,10,0,34,100,0,0.746268656716418,0.0,0.0,0.0,0.746268656716418
40,0,20,20,0,68,49,0,0.4188034188034188,0.0,0.0,0.0,0.4188034188034188
45,0,19,19,0,45,59,0,0.5673076923076923,0.0,0.0,0.0,0.5673076923076923
50,0,15,15,0,33,61,0,0.648936170212766,0.0,0.0,0.0,0.648936170212766
55,0,8,8,0,19,66,0,0.7764705882352941,0.0,0.0,0.0,0.7764705882352941
60,0,16,16,0,31,47,0,0.6025641025641025,0.0,0.0,0.0,0.6025641025641025
65,0,12,12,0,31,41,0,0.5694444444444444,0.0,0.0,0.0,0.5694444444444444
70,0,8,8,0,11,56,0,0.835820895522388,0.0,0.0,0.0,0.835820895522388
75,0,9,9,0,27,36,0,0.5714285714285714,0.0,0.0,0.0,0.5714285714285714
80,0,11,11,0,38,21,0,0.3559322033898305,0.0,0.0,0.0,0.3559322033898305
85,0,11,11,0,16,39,0,0.7090909090909091,0.0,0.0,0.0,0.7090909090909091
90,0,11,11,0,21,31,0,0.5961538461538461,0.0,0.0,0.0,0.5961538461538461
