Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,28,28,0,265,668,0,0.7159699892818864,0.0,0.0,0.0,0.7159699892818864
10,0,28,28,0,134,333,0,0.7130620985010707,0.0,0.0,0.0,0.7130620985010707
15,0,23,23,0,92,219,0,0.7041800643086816,0.0,0.0,0.0,0.7041800643086816
20,0,21,21,0,75,159,0,0.6794871794871795,0.0,0.0,0.0,0.6794871794871795
25,0,10,10,0,43,144,0,0.7700534759358288,0.0,0.0,0.0,0.7700534759358288
30,0,18,18,0,58,98,0,0.6282051282051282,0.0,0.0,0.0,0.6282051282051282
35,0,11,11,0,24,110,0,0.8208955223880597,0.0,0.0,0.0,0.8208955223880597
40,0,9,9,0,35,82,0,0.7008547008547008,0.0,0.0,0.0,0.7008547008547008
45,0,18,18,0,35,69,0,0.6634615384615384,0.0,0.0,0.0,0.6634615384615384
50,0,10,10,0,23,71,0,0.7553191489361702,0.0,0.0,0.0,0.7553191489361702
55,0,8,8,0,20,65,0,0.7647058823529411,0.0,0.0,0.0,0.7647058823529411
60,0,12,12,0,24,54,0,0.6923076923076923,0.0,0.0,0.0,0.6923076923076923
65,0,10,10,0,18,54,0,0.75,0.0,0.0,0.0,0.75
70,0,8,8,0,15,52,0,0.7761194029850746,0.0,0.0,0.0,0.7761194029850746
75,0,9,9,0,16,47,0,0.746031746031746,0.0,0.0,0.0,0.746031746031746
80,0,8,8,0,19,40,0,0.6779661016949152,0.0,0.0,0.0,0.6779661016949152
85,0,5,5,0,10,45,0,0.8181818181818182,0.0,0.0,0.0,0.8181818181818182
90,0,8,8,0,17,35,0,0.6730769230769231,0.0,0.0,0.0,0.6730769230769231
