evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-31 16:10:00,2023-11-01 02:10:00,61.0
oscilacao_002,oscilacao,2023-10-12 13:50:00,2023-10-12 21:30:00,47.0
oscilacao_003,oscilacao,2023-10-18 14:30:00,2023-10-18 22:00:00,46.0
oscilacao_004,oscilacao,2023-10-23 11:40:00,2023-10-23 21:00:00,57.0
oscilacao_005,oscilacao,2023-10-19 16:30:00,2023-10-20 03:40:00,68.0
oscilacao_006,oscilacao,2023-11-03 12:10:00,2023-11-03 21:50:00,59.0
oscilacao_007,oscilacao,2023-10-07 22:00:00,2023-10-08 09:20:00,69.0
oscilacao_008,oscilacao,2023-10-28 05:50:00,2023-10-28 17:30:00,71.0
oscilacao_009,oscilacao,2023-10-27 03:00:00,2023-10-27 10:50:00,48.0
oscilacao_010,oscilacao,2023-10-13 11:50:00,2023-10-13 22:20:00,64.0
oscilacao_011,oscilacao,2023-10-11 02:10:00,2023-10-11 13:20:00,68.0
oscilacao_012,oscilacao,2023-10-10 09:10:00,2023-10-10 17:00:00,48.0
oscilacao_013,oscilacao,2023-10-30 23:20:00,2023-10-31 08:50:00,58.0
oscilacao_014,oscilacao,2023-10-19 02:40:00,2023-10-19 14:10:00,70.0
oscilacao_015,oscilacao,2023-11-01 02:20:00,2023-11-01 09:30:00,44.0
oscilacao_016,oscilacao,2023-11-01 10:00:00,2023-11-01 17:30:00,46.0
oscilacao_017,oscilacao,2023-11-02 13:50:00,2023-11-03 01:10:00,69.0
oscilacao_018,oscilacao,2023-10-26 15:30:00,2023-10-27 02:20:00,66.0
oscilacao_019,oscilacao,2023-10-24 08:40:00,2023-10-24 17:00:00,51.0
oscilacao_020,oscilacao,2023-10-10 00:40:00,2023-10-10 09:00:00,51.0
oscilacao_021,oscilacao,2023-10-08 14:50:00,2023-10-08 21:20:00,40.0
oscilacao_022,oscilacao,2023-10-09 01:50:00,2023-10-09 08:30:00,41.0
oscilacao_023,oscilacao,2023-11-02 01:30:00,2023-11-02 08:40:00,44.0
oscilacao_024,oscilacao,2023-10-30 06:40:00,2023-10-30 14:10:00,46.0
oscilacao_025,oscilacao,2023-10-25 16:50:00,2023-10-25 23:40:00,42.0
oscilacao_026,oscilacao,2023-10-22 22:50:00,2023-10-23 10:10:00,69.0
oscilacao_027,oscilacao,2023-10-24 19:10:00,2023-10-25 04:30:00,57.0
oscilacao_028,oscilacao,2023-10-22 15:30:00,2023-10-22 22:40:00,44.0
oscilacao_029,oscilacao,2023-10-20 21:00:00,2023-10-21 05:40:00,53.0
lacuna_001,lacuna,2023-10-25 04:40:00,2023-10-25 11:20:00,41.0
lacuna_002,lacuna,2023-11-04 12:20:00,2023-11-04 16:10:00,24.0
lacuna_003,lacuna,2023-10-10 22:00:00,2023-10-11 02:00:00,25.0
lacuna_004,lacuna,2023-10-17 15:30:00,2023-10-17 21:20:00,36.0
lacuna_005,lacuna,2023-11-07 02:50:00,2023-11-07 08:00:00,32.0
lacuna_006,lacuna,2023-10-29 08:50:00,2023-10-29 15:40:00,42.0
lacuna_007,lacuna,2023-10-26 06:00:00,2023-10-26 13:30:00,46.0
lacuna_008,lacuna,2023-10-21 09:40:00,2023-10-21 14:10:00,28.0
lacuna_009,lacuna,2023-11-07 23:30:00,2023-11-08 07:20:00,48.0
lacuna_010,lacuna,2023-10-14 04:00:00,2023-10-14 11:20:00,45.0
lacuna_011,lacuna,2023-10-27 21:50:00,2023-10-28 05:40:00,48.0
lacuna_012,lacuna,2023-10-12 09:00:00,2023-10-12 13:40:00,29.0
lacuna_013,lacuna,2023-11-01 20:10:00,2023-11-02 01:00:00,30.0
lacuna_014,lacuna,2023-10-08 21:30:00,2023-10-09 01:30:00,25.0
lacuna_015,lacuna,2023-10-15 22:10:00,2023-10-16 04:00:00,36.0
lacuna_016,lacuna,2023-11-07 08:10:00,2023-11-07 14:30:00,39.0
lacuna_017,lacuna,2023-10-27 15:20:00,2023-10-27 21:40:00,39.0
lacuna_018,lacuna,2023-10-20 03:50:00,2023-10-20 09:40:00,36.0
lacuna_019,lacuna,2023-10-15 12:10:00,2023-10-15 16:10:00,25.0
lacuna_020,lacuna,2023-10-11 13:30:00,2023-10-11 20:10:00,41.0
lacuna_021,lacuna,2023-10-29 00:50:00,2023-10-29 08:40:00,48.0
lacuna_022,lacuna,2023-11-04 05:20:00,2023-11-04 11:20:00,37.0
lacuna_023,lacuna,2023-10-09 19:10:00,2023-10-10 00:30:00,33.0
lacuna_024,lacuna,2023-10-09 08:40:00,2023-10-09 16:20:00,47.0
lacuna_025,lacuna,2023-10-20 09:50:00,2023-10-20 13:40:00,24.0
lacuna_026,lacuna,2023-10-12 21:40:00,2023-10-13 03:00:00,33.0
lacuna_027,lacuna,2023-10-13 03:10:00,2023-10-13 07:10:00,25.0
lacuna_028,lacuna,2023-10-23 21:10:00,2023-10-24 04:00:00,42.0
lacuna_029,lacuna,2023-11-03 07:10:00,2023-11-03 11:40:00,28.0
queda_001,queda,2023-10-29 20:10:00,2023-10-30 00:50:00,29.0
queda_002,queda,2023-10-15 16:20:00,2023-10-15 19:20:00,19.0
queda_003,queda,2023-10-17 12:00:00,2023-10-17 15:20:00,21.0
queda_004,queda,2023-10-22 10:40:00,2023-10-22 15:20:00,29.0
queda_005,queda,2023-10-30 01:00:00,2023-10-30 04:00:00,19.0
queda_006,queda,2023-11-04 02:10:00,2023-11-04 05:10:00,19.0
queda_007,queda,2023-11-06 15:20:00,2023-11-06 18:40:00,21.0
queda_008,queda,2023-10-07 07:20:00,2023-10-07 10:40:00,21.0
queda_009,queda,2023-10-24 04:10:00,2023-10-24 08:30:00,27.0
queda_010,queda,2023-11-03 03:00:00,2023-11-03 07:00:00,25.0
queda_011,queda,2023-11-05 20:10:00,2023-11-06 01:40:00,34.0
queda_012,queda,2023-10-30 16:20:00,2023-10-30 20:50:00,28.0
queda_013,queda,2023-10-18 02:20:00,2023-10-18 08:00:00,35.0
queda_014,queda,2023-10-18 08:10:00,2023-10-18 12:20:00,26.0
queda_015,queda,2023-11-05 11:40:00,2023-11-05 17:10:00,34.0
queda_016,queda,2023-10-14 20:20:00,2023-10-15 01:00:00,29.0
queda_017,queda,2023-10-07 17:20:00,2023-10-07 21:50:00,28.0
queda_018,queda,2023-11-06 23:00:00,2023-11-07 02:00:00,19.0
queda_019,queda,2023-11-05 01:50:00,2023-11-05 06:40:00,30.0
queda_020,queda,2023-10-15 08:50:00,2023-10-15 12:00:00,20.0
queda_021,queda,2023-10-28 19:10:00,2023-10-29 00:40:00,34.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
