Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,19,19,0,435,0,478,26,0.972310969116081,1.0,0.9436008676789588,0.9709821428571429,0.9718004338394794
10,19,19,0,211,0,243,16,0.9659574468085106,1.0,0.9295154185022027,0.9634703196347032,0.9647577092511013
15,17,19,2,140,1,158,14,0.952076677316294,0.9929078014184397,0.9090909090909091,0.9491525423728814,0.9514008004574042
20,17,18,1,105,0,121,9,0.9617021276595744,1.0,0.9210526315789473,0.958904109589041,0.9605263157894737
25,17,19,2,80,1,92,15,0.9148936170212766,0.9876543209876543,0.8421052631578947,0.9090909090909091,0.9156762874929258
30,16,19,3,61,0,82,14,0.910828025477707,1.0,0.8133333333333334,0.8970588235294118,0.9066666666666667
35,19,19,0,57,0,71,7,0.9481481481481482,1.0,0.890625,0.9421487603305785,0.9453125
40,16,17,1,51,0,61,6,0.9491525423728814,1.0,0.8947368421052632,0.9444444444444444,0.9473684210526316
45,16,17,1,47,0,54,4,0.9619047619047619,1.0,0.9215686274509803,0.9591836734693877,0.9607843137254901
50,17,19,2,36,0,48,10,0.8936170212765957,1.0,0.782608695652174,0.8780487804878049,0.8913043478260869
55,16,18,2,35,0,43,8,0.9069767441860465,1.0,0.813953488372093,0.8974358974358975,0.9069767441860466
60,16,18,2,33,0,40,6,0.9240506329113924,1.0,0.8461538461538461,0.9166666666666666,0.9230769230769231
