Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,16,16,0,562,0,371,0,1.0,1.0,1.0,1.0,1.0
10,16,16,0,275,0,189,3,0.9935760171306209,1.0,0.9892086330935251,0.9945750452079566,0.9946043165467626
15,16,16,0,187,0,124,0,1.0,1.0,1.0,1.0,1.0
20,16,16,0,135,0,96,3,0.9871794871794872,1.0,0.9782608695652174,0.989010989010989,0.9891304347826086
25,15,15,0,114,0,73,0,1.0,1.0,1.0,1.0,1.0
30,16,16,0,89,0,65,2,0.9871794871794872,1.0,0.978021978021978,0.9888888888888889,0.989010989010989
35,14,15,1,79,0,53,2,0.9850746268656716,1.0,0.9753086419753086,0.9875,0.9876543209876543
40,16,16,0,66,0,50,1,0.9914529914529915,1.0,0.9850746268656716,0.9924812030075187,0.9925373134328358
45,14,14,0,58,0,46,0,1.0,1.0,1.0,1.0,1.0
50,11,11,0,61,0,32,1,0.9893617021276596,1.0,0.9838709677419355,0.991869918699187,0.9919354838709677
55,15,15,0,49,0,35,1,0.9882352941176471,1.0,0.98,0.98989898989899,0.99
60,13,13,0,42,0,34,2,0.9743589743589743,1.0,0.9545454545454546,0.9767441860465116,0.9772727272727273
65,13,14,1,42,0,29,1,0.9861111111111112,1.0,0.9767441860465116,0.9882352941176471,0.9883720930232558
70,13,14,1,38,0,27,2,0.9701492537313433,1.0,0.95,0.9743589743589743,0.975
75,12,12,0,37,0,26,0,1.0,1.0,1.0,1.0,1.0
80,10,10,0,35,0,24,0,1.0,1.0,1.0,1.0,1.0
85,11,11,0,33,0,22,0,1.0,1.0,1.0,1.0,1.0
90,14,14,0,26,0,26,0,1.0,1.0,1.0,1.0,1.0
