Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,8,34,26,554,92,210,75,0.8206229860365198,0.8575851393188855,0.8807631160572337,0.8690196078431373,0.7880636772339149
10,7,23,16,277,51,102,36,0.8133047210300429,0.8445121951219512,0.8849840255591054,0.8642745709828393,0.775825346112886
15,7,16,9,190,25,76,20,0.8553054662379421,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.8286185761433287
20,6,18,12,137,23,53,20,0.8154506437768241,0.85625,0.8726114649681529,0.8643533123028391,0.7849899430103922
25,7,18,11,112,20,42,13,0.8235294117647058,0.8484848484848485,0.896,0.8715953307392996,0.7867096774193548
30,6,13,7,99,15,36,6,0.8653846153846154,0.868421052631579,0.9428571428571428,0.9041095890410958,0.8243697478991596
35,5,17,12,78,13,30,12,0.8120300751879699,0.8571428571428571,0.8666666666666667,0.861878453038674,0.7821705426356589
40,6,9,3,78,14,23,2,0.8632478632478633,0.8478260869565217,0.975,0.9069767441860465,0.7983108108108108
45,6,12,6,66,12,20,6,0.8269230769230769,0.8461538461538461,0.9166666666666666,0.88,0.7708333333333333
50,7,11,4,55,13,19,7,0.7872340425531915,0.8088235294117647,0.8870967741935484,0.8461538461538461,0.7404233870967742
55,5,13,8,41,10,18,16,0.6941176470588235,0.803921568627451,0.7192982456140351,0.7592592592592593,0.681077694235589
60,5,9,4,49,12,14,3,0.8076923076923077,0.8032786885245902,0.9423076923076923,0.8672566371681416,0.7403846153846154
65,4,10,6,34,8,16,14,0.6944444444444444,0.8095238095238095,0.7083333333333334,0.7555555555555555,0.6875
70,5,11,6,37,6,16,8,0.7910447761194029,0.8604651162790697,0.8222222222222222,0.8409090909090909,0.7747474747474747
75,6,9,3,36,8,12,7,0.7619047619047619,0.8181818181818182,0.8372093023255814,0.8275862068965517,0.7186046511627907
80,5,11,6,35,6,11,7,0.7796610169491526,0.8536585365853658,0.8333333333333334,0.8433734939759037,0.7401960784313726
85,5,7,2,31,13,6,5,0.6727272727272727,0.7045454545454546,0.8611111111111112,0.775,0.5884502923976609
90,4,11,7,26,6,11,9,0.7115384615384616,0.8125,0.7428571428571429,0.7761194029850746,0.6949579831932773
95,5,10,5,26,9,8,6,0.6938775510204082,0.7428571428571429,0.8125,0.7761194029850746,0.6415441176470589
100,5,4,-1,30,11,5,1,0.7446808510638298,0.7317073170731707,0.967741935483871,0.8333333333333334,0.6401209677419355
