Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,36,23,257,73,543,64,0.8537886872998933,0.7787878787878788,0.8006230529595015,0.7895545314900153,0.841058279726504
10,13,23,10,130,29,279,31,0.8720682302771855,0.8176100628930818,0.8074534161490683,0.8125,0.8566487859966121
15,12,23,11,87,21,184,21,0.865814696485623,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8515582655826559
20,13,18,5,66,16,140,13,0.8765957446808511,0.8048780487804879,0.8354430379746836,0.8198757763975155,0.8664394677052905
25,10,19,9,47,6,117,18,0.8723404255319149,0.8867924528301887,0.7230769230769231,0.7966101694915254,0.8371482176360225
30,11,15,4,44,6,95,12,0.8853503184713376,0.88,0.7857142857142857,0.8301886792452831,0.8631541725601131
35,11,15,4,43,12,75,4,0.8805970149253731,0.7818181818181819,0.9148936170212766,0.8431372549019608,0.888481291269259
40,11,16,5,35,8,68,7,0.8728813559322034,0.813953488372093,0.8333333333333334,0.8235294117647058,0.8640350877192983
45,11,18,7,27,7,61,10,0.8380952380952381,0.7941176470588235,0.7297297297297297,0.7605633802816901,0.8133942766295708
50,10,12,2,24,2,60,8,0.8936170212765957,0.9230769230769231,0.75,0.8275862068965517,0.8588709677419355
55,10,12,2,20,5,51,10,0.8255813953488372,0.8,0.6666666666666666,0.7272727272727273,0.7886904761904762
60,11,14,3,21,5,46,7,0.8481012658227848,0.8076923076923077,0.75,0.7777777777777778,0.8259803921568627
65,11,14,3,14,3,46,10,0.821917808219178,0.8235294117647058,0.5833333333333334,0.6829268292682927,0.7610544217687075
70,8,10,2,20,4,38,5,0.8656716417910447,0.8333333333333334,0.8,0.8163265306122449,0.8523809523809525
