Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,933,0,1.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,467,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,311,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,234,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,187,0,1.0,0.0,0.0,0.0,1.0
30,0,0,0,0,0,156,0,1.0,0.0,0.0,0.0,1.0
35,0,0,0,0,0,134,0,1.0,0.0,0.0,0.0,1.0
40,0,0,0,0,0,117,0,1.0,0.0,0.0,0.0,1.0
45,0,0,0,0,0,104,0,1.0,0.0,0.0,0.0,1.0
50,0,1,1,0,1,93,0,0.9893617021276596,0.0,0.0,0.0,0.9893617021276596
55,0,0,0,0,0,85,0,1.0,0.0,0.0,0.0,1.0
60,0,0,0,0,0,78,0,1.0,0.0,0.0,0.0,1.0
65,0,0,0,0,0,72,0,1.0,0.0,0.0,0.0,1.0
70,0,7,7,0,10,57,0,0.8507462686567164,0.0,0.0,0.0,0.8507462686567164
75,0,5,5,0,10,53,0,0.8412698412698413,0.0,0.0,0.0,0.8412698412698413
80,0,4,4,0,4,55,0,0.9322033898305084,0.0,0.0,0.0,0.9322033898305084
85,0,1,1,0,1,54,0,0.9818181818181818,0.0,0.0,0.0,0.9818181818181818
90,0,4,4,0,5,47,0,0.9038461538461539,0.0,0.0,0.0,0.9038461538461539
