Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,37,37,0,137,802,0,0.8541001064962727,0.0,0.0,0.0,0.8541001064962727
10,0,34,34,0,80,390,0,0.8297872340425532,0.0,0.0,0.0,0.8297872340425532
15,0,25,25,0,52,261,0,0.8338658146964856,0.0,0.0,0.0,0.8338658146964856
20,0,24,24,0,47,188,0,0.8,0.0,0.0,0.0,0.8
25,0,22,22,0,39,149,0,0.7925531914893617,0.0,0.0,0.0,0.7925531914893617
30,0,25,25,0,43,114,0,0.7261146496815286,0.0,0.0,0.0,0.7261146496815286
35,0,19,19,0,39,96,0,0.7111111111111111,0.0,0.0,0.0,0.7111111111111111
40,0,17,17,0,21,97,0,0.8220338983050848,0.0,0.0,0.0,0.8220338983050848
45,0,13,13,0,24,81,0,0.7714285714285715,0.0,0.0,0.0,0.7714285714285715
50,0,16,16,0,26,68,0,0.723404255319149,0.0,0.0,0.0,0.723404255319149
55,0,17,17,0,22,64,0,0.7441860465116279,0.0,0.0,0.0,0.7441860465116279
60,0,12,12,0,25,54,0,0.6835443037974683,0.0,0.0,0.0,0.6835443037974683
