Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,36,36,0,242,693,0,0.7411764705882353,0.0,0.0,0.0,0.7411764705882353
10,0,30,30,0,144,324,0,0.6923076923076923,0.0,0.0,0.0,0.6923076923076923
15,0,31,31,0,94,218,0,0.6987179487179487,0.0,0.0,0.0,0.6987179487179487
20,0,27,27,0,98,136,0,0.5811965811965812,0.0,0.0,0.0,0.5811965811965812
25,0,25,25,0,79,108,0,0.5775401069518716,0.0,0.0,0.0,0.5775401069518716
30,0,17,17,0,87,69,0,0.4423076923076923,0.0,0.0,0.0,0.4423076923076923
35,0,21,21,0,61,73,0,0.5447761194029851,0.0,0.0,0.0,0.5447761194029851
40,0,18,18,0,55,62,0,0.5299145299145299,0.0,0.0,0.0,0.5299145299145299
45,0,14,14,0,45,59,0,0.5673076923076923,0.0,0.0,0.0,0.5673076923076923
50,0,18,18,0,54,40,0,0.425531914893617,0.0,0.0,0.0,0.425531914893617
55,0,10,10,0,51,34,0,0.4,0.0,0.0,0.0,0.4
60,0,9,9,0,53,25,0,0.32051282051282054,0.0,0.0,0.0,0.32051282051282054
65,0,14,14,0,35,37,0,0.5138888888888888,0.0,0.0,0.0,0.5138888888888888
70,0,10,10,0,29,38,0,0.5671641791044776,0.0,0.0,0.0,0.5671641791044776
75,0,11,11,0,34,29,0,0.4603174603174603,0.0,0.0,0.0,0.4603174603174603
80,0,13,13,0,27,32,0,0.5423728813559322,0.0,0.0,0.0,0.5423728813559322
