Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,24,24,0,108,833,0,0.8852284803400637,0.0,0.0,0.0,0.8852284803400637
10,0,16,16,0,52,419,0,0.8895966029723992,0.0,0.0,0.0,0.8895966029723992
15,0,12,12,0,31,283,0,0.9012738853503185,0.0,0.0,0.0,0.9012738853503185
20,0,12,12,0,23,213,0,0.902542372881356,0.0,0.0,0.0,0.902542372881356
25,0,11,11,0,19,170,0,0.8994708994708994,0.0,0.0,0.0,0.8994708994708994
30,0,8,8,0,20,137,0,0.8726114649681529,0.0,0.0,0.0,0.8726114649681529
35,0,10,10,0,15,120,0,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888
40,0,9,9,0,15,103,0,0.8728813559322034,0.0,0.0,0.0,0.8728813559322034
45,0,5,5,0,7,98,0,0.9333333333333333,0.0,0.0,0.0,0.9333333333333333
50,0,10,10,0,12,83,0,0.8736842105263158,0.0,0.0,0.0,0.8736842105263158
