evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-13 04:20:00,2023-10-13 12:30:00,50
oscilacao_002,oscilacao,2023-10-07 07:10:00,2023-10-07 14:30:00,45
oscilacao_003,oscilacao,2023-10-30 20:10:00,2023-10-31 02:50:00,41
oscilacao_004,oscilacao,2023-10-30 08:00:00,2023-10-30 14:40:00,41
oscilacao_005,oscilacao,2023-10-14 01:50:00,2023-10-14 09:20:00,46
oscilacao_006,oscilacao,2023-11-03 20:10:00,2023-11-04 04:00:00,48
oscilacao_007,oscilacao,2023-10-16 02:10:00,2023-10-16 11:10:00,55
oscilacao_008,oscilacao,2023-10-28 15:00:00,2023-10-28 23:10:00,50
oscilacao_009,oscilacao,2023-11-04 04:10:00,2023-11-04 14:00:00,60
oscilacao_010,oscilacao,2023-10-13 13:50:00,2023-10-14 01:40:00,72
oscilacao_011,oscilacao,2023-11-04 20:50:00,2023-11-05 02:40:00,36
oscilacao_012,oscilacao,2023-11-07 12:30:00,2023-11-07 20:40:00,50
oscilacao_013,oscilacao,2023-10-19 21:40:00,2023-10-20 04:40:00,43
oscilacao_014,oscilacao,2023-11-05 17:00:00,2023-11-06 00:00:00,43
oscilacao_015,oscilacao,2023-10-22 08:40:00,2023-10-22 18:20:00,59
oscilacao_016,oscilacao,2023-10-29 10:40:00,2023-10-29 20:30:00,60
oscilacao_017,oscilacao,2023-10-18 00:00:00,2023-10-18 07:10:00,44
oscilacao_018,oscilacao,2023-10-27 18:30:00,2023-10-28 02:50:00,51
oscilacao_019,oscilacao,2023-10-22 18:30:00,2023-10-23 01:50:00,45
oscilacao_020,oscilacao,2023-10-09 00:00:00,2023-10-09 06:40:00,41
oscilacao_021,oscilacao,2023-10-09 06:50:00,2023-10-09 15:30:00,53
oscilacao_022,oscilacao,2023-10-20 15:30:00,2023-10-21 01:40:00,62
oscilacao_023,oscilacao,2023-10-21 11:30:00,2023-10-21 20:10:00,53
lacuna_001,lacuna,2023-10-11 20:00:00,2023-10-12 01:30:00,34
lacuna_002,lacuna,2023-10-13 00:00:00,2023-10-13 04:10:00,26
lacuna_003,lacuna,2023-11-06 01:40:00,2023-11-06 07:00:00,33
lacuna_004,lacuna,2023-11-03 14:40:00,2023-11-03 19:00:00,27
