Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,17,0,399,0,540,0,1.0,1.0,1.0,1.0,1.0
10,16,16,0,200,0,269,1,0.997872340425532,1.0,0.9950248756218906,0.9975062344139651,0.9975124378109452
15,16,16,0,131,0,182,0,1.0,1.0,1.0,1.0,1.0
20,15,15,0,95,0,136,4,0.9829787234042553,1.0,0.9595959595959596,0.979381443298969,0.9797979797979798
25,15,15,0,78,0,110,0,1.0,1.0,1.0,1.0,1.0
30,15,15,0,65,0,89,3,0.9808917197452229,1.0,0.9558823529411765,0.9774436090225563,0.9779411764705883
35,16,16,0,58,0,77,0,1.0,1.0,1.0,1.0,1.0
40,15,15,0,47,0,69,2,0.9830508474576272,1.0,0.9591836734693877,0.9791666666666666,0.9795918367346939
45,15,15,0,41,0,62,2,0.9809523809523809,1.0,0.9534883720930233,0.9761904761904762,0.9767441860465116
50,15,15,0,38,0,56,0,1.0,1.0,1.0,1.0,1.0
55,13,14,1,33,0,50,3,0.9651162790697675,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333
60,14,14,0,34,0,44,1,0.9873417721518988,1.0,0.9714285714285714,0.9855072463768116,0.9857142857142858
