Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,39,28,490,94,262,87,0.8060021436227224,0.839041095890411,0.8492201039861352,0.8440999138673557,0.7925875800829553
10,11,31,20,247,46,133,41,0.8137044967880086,0.8430034129692833,0.8576388888888888,0.8502581755593803,0.8003278243327125
15,11,27,16,152,24,93,42,0.7877813504823151,0.8636363636363636,0.7835051546391752,0.8216216216216217,0.789188474755485
20,11,20,9,124,20,68,22,0.8205128205128205,0.8611111111111112,0.8493150684931506,0.8551724137931035,0.8110211706102117
25,11,20,9,95,15,56,21,0.8074866310160428,0.8636363636363636,0.8189655172413793,0.8407079646017699,0.8038489558037882
30,10,20,10,78,15,44,19,0.782051282051282,0.8387096774193549,0.8041237113402062,0.8210526315789474,0.7749432116023065
35,11,17,6,69,16,37,12,0.7910447761194029,0.8117647058823529,0.8518518518518519,0.8313253012048193,0.7749825296995108
40,10,18,8,57,5,39,16,0.8205128205128205,0.9193548387096774,0.7808219178082192,0.8444444444444444,0.8335927770859277
45,10,15,5,48,6,32,18,0.7692307692307693,0.8888888888888888,0.7272727272727273,0.8,0.784688995215311
50,11,14,3,51,6,30,7,0.8617021276595744,0.8947368421052632,0.8793103448275862,0.8869565217391304,0.8563218390804598
55,10,14,4,41,5,28,11,0.8117647058823529,0.8913043478260869,0.7884615384615384,0.8367346938775511,0.8184731934731935
60,9,16,7,36,5,24,13,0.7692307692307693,0.8780487804878049,0.7346938775510204,0.8,0.7811400422237861
65,9,13,4,31,1,27,13,0.8055555555555556,0.96875,0.7045454545454546,0.8157894736842105,0.8344155844155845
70,10,12,2,33,10,18,6,0.7611940298507462,0.7674418604651163,0.8461538461538461,0.8048780487804879,0.7445054945054945
75,9,12,3,30,6,17,10,0.746031746031746,0.8333333333333334,0.75,0.7894736842105263,0.7445652173913043
80,10,12,2,29,3,19,8,0.8135593220338984,0.90625,0.7837837837837838,0.8405797101449275,0.8237100737100738
85,9,13,4,21,4,17,13,0.6909090909090909,0.84,0.6176470588235294,0.711864406779661,0.7135854341736695
90,9,13,4,26,3,16,7,0.8076923076923077,0.896551724137931,0.7878787878787878,0.8387096774193549,0.8149920255183413
