Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,60,60,0,142,799,0,0.8490967056323061,0.0,0.0,0.0,0.8490967056323061
10,0,36,36,0,62,409,0,0.8683651804670913,0.0,0.0,0.0,0.8683651804670913
15,0,26,26,0,39,275,0,0.8757961783439491,0.0,0.0,0.0,0.8757961783439491
20,0,13,13,0,26,210,0,0.8898305084745762,0.0,0.0,0.0,0.8898305084745762
25,0,15,15,0,19,170,0,0.8994708994708994,0.0,0.0,0.0,0.8994708994708994
30,0,13,13,0,20,137,0,0.8726114649681529,0.0,0.0,0.0,0.8726114649681529
35,0,25,25,0,45,90,0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
40,0,7,7,0,11,107,0,0.9067796610169492,0.0,0.0,0.0,0.9067796610169492
45,0,10,10,0,15,90,0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571
50,0,8,8,0,10,85,0,0.8947368421052632,0.0,0.0,0.0,0.8947368421052632
