teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
com_erro,catboost,lacuna,20,5,5,947,947,209,738,280,667,23,23,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985008,667,0,0,280,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_lacuna_jan20_passo5_eventos.png
com_erro,catboost,oscilacao,100,45,45,104,104,74,30,71,33,10,10,0,0.8269230769230769,0.7678190354246692,0.8354430379746836,0.9295774647887324,0.88,0.6060606060422407,20,13,5,66,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_oscilacao_jan100_passo45_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_oscilacao_jan100_passo45_eventos.png
com_erro,catboost,queda,90,85,85,55,55,25,30,27,28,12,13,1,0.8727272727272727,0.873015873015873,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8571428571122449,24,4,3,24,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_queda_jan90_passo85_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_queda_jan90_passo85_eventos.png
com_erro,mlp,lacuna,20,20,20,237,237,54,183,67,170,22,22,0,0.9915611814345991,0.9850746268656716,1.0,0.9701492537313433,0.9848484848484849,0.9999999999941177,170,0,2,65,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_lacuna_jan20_passo20_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_lacuna_jan20_passo20_eventos.png
com_erro,mlp,oscilacao,100,90,90,52,52,38,14,35,17,8,8,0,0.8269230769230769,0.7655462184873949,0.825,0.9428571428571428,0.88,0.588235294083045,10,7,2,33,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_oscilacao_jan100_passo90_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_oscilacao_jan100_passo90_eventos.png
com_erro,mlp,queda,20,15,15,316,316,64,252,70,246,19,23,4,0.939873417721519,0.9204994192799071,0.8493150684931506,0.8857142857142857,0.8671328671328671,0.9552845528416453,235,11,8,62,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_queda_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_queda_jan20_passo15_eventos.png
com_erro,random_forest,lacuna,20,5,5,947,947,209,738,280,667,23,23,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985008,667,0,0,280,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_lacuna_jan20_passo5_eventos.png
com_erro,random_forest,oscilacao,100,40,40,117,117,85,32,77,40,11,11,0,0.8290598290598291,0.7560064935064935,0.8,0.987012987012987,0.8837209302325582,0.5249999999868751,21,19,1,76,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_oscilacao_jan100_passo40_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_oscilacao_jan100_passo40_eventos.png
com_erro,random_forest,queda,100,75,75,63,63,33,30,30,33,11,11,0,0.7936507936507936,0.7984848484848486,0.7297297297297297,0.9,0.8059701492537313,0.6969696969485768,23,10,3,27,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_queda_jan100_passo75_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_queda_jan100_passo75_eventos.png
com_erro,xgboost,lacuna,20,5,5,947,947,209,738,280,667,23,23,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985008,667,0,0,280,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_xgboost_lacuna_jan20_passo5_eventos.png
