Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,37,22,534,82,281,38,0.8716577540106952,0.8668831168831169,0.9335664335664335,0.898989898989899,0.8538355583810129
10,14,31,17,268,48,135,17,0.8611111111111112,0.8481012658227848,0.9403508771929825,0.891846921797005,0.8390278976128847
15,15,29,14,180,37,86,9,0.8525641025641025,0.8294930875576036,0.9523809523809523,0.8866995073891626,0.8257839721254355
20,14,26,12,136,26,64,8,0.8547008547008547,0.8395061728395061,0.9444444444444444,0.8888888888888888,0.8277777777777777
25,14,22,8,105,24,48,10,0.8181818181818182,0.813953488372093,0.9130434782608695,0.860655737704918,0.7898550724637681
30,13,18,5,94,22,39,1,0.8525641025641025,0.8103448275862069,0.9894736842105263,0.8909952606635071,0.8144089732528041
35,12,20,8,75,14,39,6,0.8507462686567164,0.8426966292134831,0.9259259259259259,0.8823529411764706,0.8308874912648497
40,11,16,5,68,15,30,4,0.8376068376068376,0.8192771084337349,0.9444444444444444,0.8774193548387097,0.8055555555555556
45,11,16,5,60,14,27,3,0.8365384615384616,0.8108108108108109,0.9523809523809523,0.8759124087591241,0.805458768873403
50,11,10,-1,55,13,20,6,0.7978723404255319,0.8088235294117647,0.9016393442622951,0.8527131782945736,0.7538499751614506
55,12,13,1,50,12,21,2,0.8352941176470589,0.8064516129032258,0.9615384615384616,0.8771929824561403,0.798951048951049
60,12,14,2,44,12,19,3,0.8076923076923077,0.7857142857142857,0.9361702127659575,0.8543689320388349,0.7745367192862045
65,12,11,-1,44,16,12,0,0.7777777777777778,0.7333333333333333,1.0,0.8461538461538461,0.7142857142857143
70,10,14,4,33,5,22,7,0.8208955223880597,0.868421052631579,0.825,0.8461538461538461,0.8199074074074073
75,8,11,3,33,10,13,7,0.7301587301587301,0.7674418604651163,0.825,0.7951807228915663,0.6951086956521739
80,11,10,-1,33,8,15,3,0.8135593220338984,0.8048780487804879,0.9166666666666666,0.8571428571428571,0.7844202898550725
