Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,35,35,0,365,570,0,0.6096256684491979,0.0,0.0,0.0,0.6096256684491979
10,0,26,26,0,199,269,0,0.5747863247863247,0.0,0.0,0.0,0.5747863247863247
15,0,22,22,0,150,162,0,0.5192307692307693,0.0,0.0,0.0,0.5192307692307693
20,0,17,17,0,106,128,0,0.5470085470085471,0.0,0.0,0.0,0.5470085470085471
25,0,15,15,0,95,92,0,0.4919786096256685,0.0,0.0,0.0,0.4919786096256685
30,0,16,16,0,78,78,0,0.5,0.0,0.0,0.0,0.5
35,0,14,14,0,62,72,0,0.5373134328358209,0.0,0.0,0.0,0.5373134328358209
40,0,14,14,0,64,53,0,0.452991452991453,0.0,0.0,0.0,0.452991452991453
45,0,14,14,0,53,51,0,0.49038461538461536,0.0,0.0,0.0,0.49038461538461536
50,0,12,12,0,44,50,0,0.5319148936170213,0.0,0.0,0.0,0.5319148936170213
55,0,9,9,0,48,37,0,0.43529411764705883,0.0,0.0,0.0,0.43529411764705883
60,0,12,12,0,36,42,0,0.5384615384615384,0.0,0.0,0.0,0.5384615384615384
65,0,10,10,0,37,35,0,0.4861111111111111,0.0,0.0,0.0,0.4861111111111111
70,0,8,8,0,22,45,0,0.6716417910447762,0.0,0.0,0.0,0.6716417910447762
75,0,8,8,0,38,25,0,0.3968253968253968,0.0,0.0,0.0,0.3968253968253968
80,0,10,10,0,33,26,0,0.4406779661016949,0.0,0.0,0.0,0.4406779661016949
