Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,18,18,0,231,702,0,0.752411575562701,0.0,0.0,0.0,0.752411575562701
10,0,14,14,0,115,352,0,0.7537473233404711,0.0,0.0,0.0,0.7537473233404711
15,0,10,10,0,73,238,0,0.7652733118971061,0.0,0.0,0.0,0.7652733118971061
20,0,9,9,0,48,186,0,0.7948717948717948,0.0,0.0,0.0,0.7948717948717948
25,0,12,12,0,44,143,0,0.7647058823529411,0.0,0.0,0.0,0.7647058823529411
30,0,6,6,0,39,117,0,0.75,0.0,0.0,0.0,0.75
35,0,9,9,0,24,110,0,0.8208955223880597,0.0,0.0,0.0,0.8208955223880597
40,0,10,10,0,22,95,0,0.811965811965812,0.0,0.0,0.0,0.811965811965812
45,0,8,8,0,26,78,0,0.75,0.0,0.0,0.0,0.75
50,0,9,9,0,27,67,0,0.7127659574468085,0.0,0.0,0.0,0.7127659574468085
55,0,7,7,0,13,72,0,0.8470588235294118,0.0,0.0,0.0,0.8470588235294118
60,0,9,9,0,20,58,0,0.7435897435897436,0.0,0.0,0.0,0.7435897435897436
65,0,8,8,0,13,59,0,0.8194444444444444,0.0,0.0,0.0,0.8194444444444444
70,0,9,9,0,16,51,0,0.7611940298507462,0.0,0.0,0.0,0.7611940298507462
75,0,7,7,0,15,48,0,0.7619047619047619,0.0,0.0,0.0,0.7619047619047619
80,0,7,7,0,8,51,0,0.864406779661017,0.0,0.0,0.0,0.864406779661017
85,0,5,5,0,8,47,0,0.8545454545454545,0.0,0.0,0.0,0.8545454545454545
90,0,6,6,0,14,38,0,0.7307692307692307,0.0,0.0,0.0,0.7307692307692307
