Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,18,0,457,0,476,4,0.9957310565635006,1.0,0.9913232104121475,0.9956427015250545,0.9956616052060738
10,17,18,1,226,0,239,4,0.9914712153518124,1.0,0.9826086956521739,0.9912280701754386,0.991304347826087
15,17,18,1,149,0,159,5,0.9840255591054313,1.0,0.9675324675324676,0.9834983498349835,0.9837662337662338
20,17,17,0,114,0,120,1,0.9957446808510638,1.0,0.991304347826087,0.9956331877729258,0.9956521739130435
25,17,17,0,91,0,96,1,0.9946808510638298,1.0,0.9891304347826086,0.994535519125683,0.9945652173913043
30,17,18,1,73,0,82,2,0.9872611464968153,1.0,0.9733333333333334,0.9864864864864865,0.9866666666666667
35,16,16,0,64,0,68,2,0.9850746268656716,1.0,0.9696969696969697,0.9846153846153847,0.9848484848484849
40,15,15,0,57,0,60,1,0.9915254237288136,1.0,0.9827586206896551,0.991304347826087,0.9913793103448276
45,17,18,1,48,0,54,3,0.9714285714285714,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
50,15,15,0,44,0,48,2,0.9787234042553191,1.0,0.9565217391304348,0.9777777777777777,0.9782608695652174
55,16,16,0,40,0,45,1,0.9883720930232558,1.0,0.975609756097561,0.9876543209876543,0.9878048780487805
60,15,14,-1,36,0,41,2,0.9746835443037974,1.0,0.9473684210526315,0.972972972972973,0.9736842105263157
65,14,13,-1,36,0,36,1,0.9863013698630136,1.0,0.972972972972973,0.9863013698630136,0.9864864864864865
70,13,13,0,30,0,33,4,0.9402985074626866,1.0,0.8823529411764706,0.9375,0.9411764705882353
