Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,30,15,474,43,385,29,0.9226638023630505,0.9168278529980658,0.9423459244532804,0.9294117647058824,0.9209393173668271
10,15,22,7,237,17,197,15,0.9313304721030042,0.9330708661417323,0.9404761904761905,0.9367588932806324,0.9305184690698709
15,15,17,2,156,4,138,13,0.9453376205787781,0.975,0.9230769230769231,0.9483282674772037,0.9474539544962081
20,15,19,4,117,8,100,8,0.9313304721030042,0.936,0.936,0.936,0.930962962962963
25,15,16,1,93,4,81,9,0.93048128342246,0.9587628865979382,0.9117647058823529,0.9346733668341709,0.9323529411764706
30,14,18,4,80,8,64,4,0.9230769230769231,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9206349206349206
35,15,16,1,65,2,59,7,0.9323308270676691,0.9701492537313433,0.9027777777777778,0.935251798561151,0.934995446265938
40,14,16,2,58,6,48,5,0.905982905982906,0.90625,0.9206349206349206,0.9133858267716536,0.9047619047619047
45,15,16,1,51,2,45,6,0.9230769230769231,0.9622641509433962,0.8947368421052632,0.9272727272727272,0.9260918253079508
50,15,16,1,45,2,41,6,0.9148936170212766,0.9574468085106383,0.8823529411764706,0.9183673469387755,0.9179206566347469
55,14,14,0,43,8,32,2,0.8823529411764706,0.8431372549019608,0.9555555555555556,0.8958333333333334,0.8777777777777778
60,14,16,2,40,3,33,2,0.9358974358974359,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9345238095238095
65,12,16,4,36,3,28,5,0.8888888888888888,0.9230769230769231,0.8780487804878049,0.9,0.8906372934697089
70,12,15,3,32,2,28,5,0.8955223880597015,0.9411764705882353,0.8648648648648649,0.9014084507042254,0.8990990990990991
75,11,13,2,33,1,26,3,0.9365079365079365,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.9398148148148148
80,13,11,-2,30,4,25,0,0.9322033898305084,0.8823529411764706,1.0,0.9375,0.9310344827586207
85,11,11,0,30,1,24,0,0.9818181818181818,0.967741935483871,1.0,0.9836065573770492,0.98
90,12,13,1,23,5,21,3,0.8461538461538461,0.8214285714285714,0.8846153846153846,0.8518518518518519,0.8461538461538461
95,13,16,3,22,2,21,4,0.8775510204081632,0.9166666666666666,0.8461538461538461,0.88,0.8795986622073578
100,13,13,0,23,3,21,0,0.9361702127659575,0.8846153846153846,1.0,0.9387755102040817,0.9375
