teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
sem_erro,catboost,lacuna,20,5,5,947,947,208,739,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_lacuna_jan20_passo5_eventos.png
sem_erro,catboost,oscilacao,20,20,20,237,237,82,155,0,237,0,6,6,0.9662447257383966,0.9662447257383966,0.0,0.0,0.0,0.9662447257343196,229,8,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_oscilacao_jan20_passo20_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_oscilacao_jan20_passo20_eventos.png
sem_erro,catboost,queda,100,95,95,49,49,23,26,0,49,0,3,3,0.9183673469387755,0.9183673469387755,0.0,0.0,0.0,0.9183673469200334,45,4,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_queda_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_queda_jan100_passo95_eventos.png
sem_erro,mlp,lacuna,20,5,5,947,947,208,739,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_lacuna_jan20_passo5_eventos.png
sem_erro,mlp,oscilacao,80,80,80,59,59,29,30,0,59,0,5,5,0.847457627118644,0.847457627118644,0.0,0.0,0.0,0.8474576271042804,50,9,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_oscilacao_jan80_passo80_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_oscilacao_jan80_passo80_eventos.png
sem_erro,mlp,queda,100,90,90,52,52,27,25,0,52,0,2,2,0.8653846153846154,0.8653846153846154,0.0,0.0,0.0,0.8653846153679734,45,7,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_queda_jan100_passo90_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_queda_jan100_passo90_eventos.png
sem_erro,random_forest,lacuna,20,5,5,947,947,208,739,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_lacuna_jan20_passo5_eventos.png
sem_erro,random_forest,oscilacao,20,15,15,316,316,113,203,0,316,0,5,5,0.9651898734177216,0.9651898734177216,0.0,0.0,0.0,0.9651898734146671,305,11,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_oscilacao_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_oscilacao_jan20_passo15_eventos.png
sem_erro,random_forest,queda,100,95,95,49,49,23,26,0,49,0,2,2,0.8775510204081632,0.8775510204081632,0.0,0.0,0.0,0.8775510203902541,43,6,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_queda_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_queda_jan100_passo95_eventos.png
sem_erro,xgboost,lacuna,20,5,5,947,947,208,739,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_lacuna_jan20_passo5_eventos.png
sem_erro,xgboost,oscilacao,30,25,25,189,189,74,115,0,189,0,9,9,0.9153439153439153,0.9153439153439153,0.0,0.0,0.0,0.9153439153390723,173,16,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_oscilacao_jan30_passo25_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_oscilacao_jan30_passo25_eventos.png
sem_erro,xgboost,queda,100,95,95,49,49,23,26,0,49,0,2,2,0.8979591836734694,0.8979591836734694,0.0,0.0,0.0,0.8979591836551437,44,5,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_queda_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_5\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_queda_jan100_passo95_eventos.png
