rodada,cenario,base,falha,quantidade_eventos
1,com_erro,teste,lacuna,3
1,com_erro,teste,oscilacao,2
1,com_erro,teste,queda,1
1,com_erro,treino,lacuna,1
1,com_erro,treino,oscilacao,1
1,com_erro,treino,queda,1
1,sem_erro,treino,lacuna,2
1,sem_erro,treino,oscilacao,2
1,sem_erro,treino,queda,2
2,com_erro,teste,lacuna,2
2,com_erro,teste,oscilacao,2
2,com_erro,teste,queda,2
2,com_erro,treino,lacuna,2
2,com_erro,treino,oscilacao,1
2,sem_erro,treino,lacuna,3
2,sem_erro,treino,oscilacao,2
2,sem_erro,treino,queda,1
3,com_erro,teste,lacuna,2
3,com_erro,teste,oscilacao,2
3,com_erro,teste,queda,2
3,com_erro,treino,lacuna,2
3,com_erro,treino,oscilacao,1
3,sem_erro,treino,lacuna,3
3,sem_erro,treino,oscilacao,2
3,sem_erro,treino,queda,1
4,com_erro,teste,lacuna,3
4,com_erro,teste,oscilacao,2
4,com_erro,teste,queda,1
4,com_erro,treino,lacuna,1
4,com_erro,treino,oscilacao,1
4,com_erro,treino,queda,1
4,sem_erro,treino,lacuna,2
4,sem_erro,treino,oscilacao,2
4,sem_erro,treino,queda,2
5,com_erro,teste,lacuna,3
5,com_erro,teste,oscilacao,2
5,com_erro,teste,queda,1
5,com_erro,treino,lacuna,2
5,com_erro,treino,oscilacao,1
5,sem_erro,treino,lacuna,3
5,sem_erro,treino,oscilacao,2
5,sem_erro,treino,queda,1
