teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
com_erro,catboost,lacuna,60,20,20,4,4,2,2,4,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,4,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_catboost_lacuna_jan60_passo20_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_catboost_lacuna_jan60_passo20_eventos.png
com_erro,catboost,oscilacao,20,10,10,12,12,8,4,7,5,2,2,0,1.0,1.0,1.0,1.0,1.0,0.9999999998,5,0,0,7,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_catboost_oscilacao_jan20_passo10_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_catboost_oscilacao_jan20_passo10_eventos.png
com_erro,catboost,queda,50,15,15,6,6,2,4,0,6,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999998333333,6,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_catboost_queda_jan50_passo15_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_catboost_queda_jan50_passo15_eventos.png
com_erro,mlp,lacuna,50,25,25,4,4,2,2,4,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,4,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_mlp_lacuna_jan50_passo25_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_mlp_lacuna_jan50_passo25_eventos.png
com_erro,mlp,oscilacao,20,10,10,12,12,8,4,7,5,2,2,0,0.9166666666666666,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.9999999998,5,0,1,6,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_mlp_oscilacao_jan20_passo10_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_mlp_oscilacao_jan20_passo10_eventos.png
com_erro,mlp,queda,20,15,15,8,8,2,6,0,8,0,0,0,1.0,1.0,0.0,0.0,0.0,0.999999999875,8,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_mlp_queda_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_mlp_queda_jan20_passo15_eventos.png
com_erro,random_forest,lacuna,60,20,20,4,4,2,2,4,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,4,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_random_forest_lacuna_jan60_passo20_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_random_forest_lacuna_jan60_passo20_eventos.png
com_erro,random_forest,oscilacao,20,10,10,12,12,8,4,7,5,2,2,0,1.0,1.0,1.0,1.0,1.0,0.9999999998,5,0,0,7,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_random_forest_oscilacao_jan20_passo10_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_random_forest_oscilacao_jan20_passo10_eventos.png
com_erro,random_forest,queda,50,20,20,5,5,2,3,1,4,1,1,0,1.0,1.0,1.0,1.0,1.0,0.99999999975,4,0,0,1,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_random_forest_queda_jan50_passo20_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_random_forest_queda_jan50_passo20_eventos.png
com_erro,xgboost,lacuna,30,20,20,6,6,2,4,6,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,6,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_xgboost_lacuna_jan30_passo20_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_xgboost_lacuna_jan30_passo20_eventos.png
com_erro,xgboost,oscilacao,20,5,5,23,23,17,6,15,8,2,2,0,0.9565217391304348,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.999999999875,8,0,1,14,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_xgboost_oscilacao_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_xgboost_oscilacao_jan20_passo5_eventos.png
com_erro,xgboost,queda,60,5,5,15,15,7,8,1,14,1,1,0,1.0,1.0,1.0,1.0,1.0,0.9999999999285715,14,0,0,1,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_xgboost_queda_jan60_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\com_erro\MP25_1_20240108_0100_to_20240108_2300_rodada_1_com_erro_xgboost_queda_jan60_passo5_eventos.png
