teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
sem_erro,catboost,lacuna,20,5,5,23,23,17,6,0,23,0,2,2,0.9130434782608695,0.9130434782608695,0.0,0.0,0.0,0.913043478221172,21,2,0,0
sem_erro,catboost,lacuna,20,10,10,12,12,9,3,0,12,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0
sem_erro,catboost,lacuna,20,15,15,8,8,6,2,0,8,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0
sem_erro,catboost,lacuna,30,5,5,21,21,17,4,0,21,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0
sem_erro,catboost,lacuna,30,10,10,11,11,9,2,0,11,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0
sem_erro,catboost,lacuna,30,15,15,7,7,5,2,0,7,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0
sem_erro,catboost,lacuna,40,5,5,19,19,17,2,0,19,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,19,0,0
sem_erro,catboost,oscilacao,20,5,5,23,23,17,6,0,23,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0,0
sem_erro,catboost,oscilacao,20,10,10,12,12,8,4,0,12,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0
sem_erro,catboost,oscilacao,20,15,15,8,8,6,2,0,8,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0
sem_erro,catboost,oscilacao,20,20,20,6,6,4,2,0,6,0,2,2,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666665555555,4,2,0,0
sem_erro,catboost,oscilacao,30,5,5,21,21,19,2,0,21,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0
sem_erro,catboost,oscilacao,30,10,10,11,11,9,2,0,11,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0
sem_erro,catboost,oscilacao,30,20,20,6,6,4,2,0,6,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0
sem_erro,mlp,lacuna,20,5,5,23,23,17,6,0,23,0,3,3,0.21739130434782608,0.21739130434782608,0.0,0.0,0.0,0.21739130433837428,5,18,0,0
sem_erro,mlp,lacuna,20,10,10,12,12,9,3,0,12,0,2,2,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666665277777,2,10,0,0
sem_erro,mlp,lacuna,20,15,15,8,8,6,2,0,8,0,2,2,0.375,0.375,0.0,0.0,0.0,0.374999999953125,3,5,0,0
sem_erro,mlp,lacuna,30,5,5,21,21,17,4,0,21,0,2,2,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.04761904761678005,1,20,0,0
sem_erro,mlp,lacuna,30,10,10,11,11,9,2,0,11,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0
