evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-20 10:50:00,2023-10-20 19:00:00,50
oscilacao_002,oscilacao,2023-10-31 10:40:00,2023-10-31 18:50:00,50
oscilacao_003,oscilacao,2024-01-04 16:50:00,2024-01-05 00:20:00,46
oscilacao_004,oscilacao,2023-11-17 15:10:00,2023-11-18 01:40:00,64
oscilacao_005,oscilacao,2023-11-03 01:00:00,2023-11-03 09:20:00,51
oscilacao_006,oscilacao,2023-12-19 19:50:00,2023-12-20 03:10:00,45
oscilacao_007,oscilacao,2023-12-30 18:50:00,2023-12-31 05:50:00,67
oscilacao_008,oscilacao,2023-12-03 11:30:00,2023-12-03 21:50:00,63
oscilacao_009,oscilacao,2023-12-02 23:40:00,2023-12-03 11:20:00,71
oscilacao_010,oscilacao,2023-11-09 10:20:00,2023-11-09 20:30:00,62
oscilacao_011,oscilacao,2023-10-04 14:10:00,2023-10-04 21:20:00,44
oscilacao_012,oscilacao,2023-11-24 17:30:00,2023-11-25 00:40:00,44
lacuna_001,lacuna,2023-11-27 10:30:00,2023-11-27 15:50:00,33
lacuna_002,lacuna,2023-11-21 08:00:00,2023-11-21 13:20:00,33
lacuna_003,lacuna,2023-11-29 17:20:00,2023-11-29 22:30:00,32
lacuna_004,lacuna,2023-10-19 12:20:00,2023-10-19 16:30:00,26
lacuna_005,lacuna,2023-09-15 01:40:00,2023-09-15 07:20:00,35
lacuna_006,lacuna,2023-12-04 12:40:00,2023-12-04 18:20:00,35
lacuna_007,lacuna,2023-11-08 19:30:00,2023-11-09 00:00:00,28
lacuna_008,lacuna,2023-10-04 00:10:00,2023-10-04 07:20:00,44
lacuna_009,lacuna,2023-11-09 00:10:00,2023-11-09 06:50:00,41
lacuna_010,lacuna,2023-09-08 07:30:00,2023-09-08 12:20:00,30
lacuna_011,lacuna,2023-10-08 05:40:00,2023-10-08 10:10:00,28
lacuna_012,lacuna,2023-09-07 23:50:00,2023-09-08 06:10:00,39
queda_001,queda,2023-10-29 19:00:00,2023-10-30 00:00:00,31
queda_002,queda,2023-09-25 15:20:00,2023-09-25 20:10:00,30
queda_003,queda,2023-11-15 22:10:00,2023-11-16 01:10:00,19
queda_004,queda,2023-10-27 04:40:00,2023-10-27 09:50:00,32
queda_005,queda,2023-11-28 12:30:00,2023-11-28 15:40:00,20
queda_006,queda,2023-12-13 01:40:00,2023-12-13 05:40:00,25
queda_007,queda,2023-12-03 22:00:00,2023-12-04 02:30:00,28
queda_008,queda,2023-12-09 14:40:00,2023-12-09 18:00:00,21
queda_009,queda,2023-11-10 15:10:00,2023-11-10 19:30:00,27
queda_010,queda,2023-12-21 02:50:00,2023-12-21 07:40:00,30
queda_011,queda,2023-10-03 09:10:00,2023-10-03 12:50:00,23
queda_012,queda,2023-09-25 01:00:00,2023-09-25 04:30:00,22
