Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,13,0,211,0,3351,0,1.0,1.0,1.0,1.0,1.0
10,13,13,0,105,0,1675,1,0.9994385176866929,1.0,0.9905660377358491,0.995260663507109,0.9952830188679245
15,13,13,0,70,0,1117,1,0.9991582491582491,1.0,0.9859154929577465,0.9929078014184397,0.9929577464788732
20,13,13,0,53,0,838,0,1.0,1.0,1.0,1.0,1.0
25,13,13,0,42,0,671,0,1.0,1.0,1.0,1.0,1.0
30,12,12,0,36,0,558,0,1.0,1.0,1.0,1.0,1.0
35,12,12,0,32,0,477,0,1.0,1.0,1.0,1.0,1.0
40,13,13,0,28,0,418,0,1.0,1.0,1.0,1.0,1.0
45,12,12,0,22,0,374,0,1.0,1.0,1.0,1.0,1.0
50,13,13,0,20,0,337,0,1.0,1.0,1.0,1.0,1.0
